label,centroid_y,centroid_x,area_um2,diameter_um,dapi_mean_intensity,wfa_sum_intensity,is_pnn_plus,is_pv_plus
1,4.816091954022989,12.436781609195402,36.7575,6.8411331346205175,7.609195402298851,15633.0,False,False
2,2.1219512195121952,49.853658536585364,17.3225,4.696348795998318,18.878048780487806,24387.0,False,False
3,1.25,270.7,8.450000000000001,3.2800722786262084,12.65,22604.0,False,False
4,3.69811320754717,285.9056603773585,22.392500000000002,5.3395708165996005,12.849056603773585,24264.0,False,False
5,1.3548387096774193,377.1290322580645,13.097500000000002,4.083657054304242,11.419354838709678,17143.0,False,False
6,1.16,419.44,10.562500000000002,3.6672322930604158,11.32,18316.0,False,False
7,3.543859649122807,612.0526315789474,24.082500000000003,5.537399329656889,10.385964912280702,16115.0,False,False
8,3.895348837209302,730.6395348837209,36.335,6.801702644040839,9.674418604651162,16023.0,False,False
9,6.132530120481928,118.50602409638554,35.0675,6.682015245043993,12.55421686746988,24221.0,False,False
10,4.205128205128205,743.3589743589744,16.477500000000003,4.5803716659648535,11.615384615384615,16575.0,False,False
11,6.1923076923076925,185.5,21.970000000000002,5.288957628666685,11.461538461538462,23379.0,False,False
12,6.114285714285714,568.4714285714285,29.575000000000003,6.136453335237093,9.757142857142858,19756.0,False,False
13,7.2109375,621.59375,54.080000000000005,8.297999432349801,7.015625,17786.0,False,False
14,8.981481481481481,190.33333333333334,22.815,5.389708731752834,10.851851851851851,26323.0,False,False
15,7.525,331.05,16.900000000000002,4.638722701997206,9.325,21233.0,False,False
16,11.042553191489361,267.531914893617,19.8575,5.028255588131782,15.74468085106383,30865.0,False,False
17,13.5,374.9479166666667,40.56,7.186278309003779,9.947916666666666,24648.0,False,False
18,9.53191489361702,479.93617021276594,19.8575,5.028255588131782,10.48936170212766,21882.0,False,False
19,11.354166666666666,335.4791666666667,20.28,5.081466123790367,8.291666666666666,23272.0,False,False
20,14.560344827586206,581.5431034482758,49.010000000000005,7.8994601136704485,8.974137931034482,25690.0,False,False
21,12.5125,52.575,33.800000000000004,6.560144557252417,17.3875,31394.0,False,False
22,13.0,440.31081081081084,31.265000000000004,6.309345002941657,10.445945945945946,25439.0,False,False
23,14.0,63.29824561403509,24.082500000000003,5.537399329656889,15.701754385964913,31363.0,False,False
24,14.254237288135593,161.74576271186442,24.927500000000002,5.633709146857493,10.271186440677965,26370.0,False,False
25,13.866666666666667,340.9111111111111,19.012500000000003,4.920108417939312,8.533333333333333,24186.0,False,False
26,16.688172043010752,129.29032258064515,39.292500000000004,7.073101498742004,8.440860215053764,31040.0,False,False
27,16.51685393258427,211.53932584269663,37.602500000000006,6.919320051920128,15.157303370786517,33507.0,False,False
28,17.060606060606062,252.65151515151516,27.885,5.958547197508803,12.757575757575758,35764.0,False,False
29,16.796610169491526,290.03389830508473,24.927500000000002,5.633709146857493,13.288135593220339,34278.0,False,False
30,15.968253968253968,533.1904761904761,26.617500000000003,5.8215507884058,10.777777777777779,25134.0,False,False
31,21.525547445255473,14.569343065693431,57.88250000000001,8.584770698634475,9.474452554744525,24704.0,False,False
32,18.528089887640448,70.7752808988764,37.602500000000006,6.919320051920128,10.97752808988764,33126.0,False,False
33,19.149425287356323,137.98850574712642,36.7575,6.8411331346205175,8.816091954022989,31113.0,False,False
34,18.577464788732396,200.80281690140845,29.997500000000002,6.180129710871209,10.732394366197184,34124.0,False,False
35,19.46511627906977,399.74418604651163,36.335,6.801702644040839,11.86046511627907,30522.0,False,False
36,19.891304347826086,264.8695652173913,19.435000000000002,4.974475907261778,16.47826086956522,38084.0,False,False
37,21.092105263157894,757.3157894736842,32.11000000000001,6.394037987175715,8.907894736842104,24132.0,False,False
38,20.428571428571427,241.0,17.745,4.753276314430444,12.357142857142858,38737.0,False,False
39,21.15068493150685,608.6027397260274,30.842500000000005,6.266569289371519,9.013698630136986,25877.0,False,False
40,22.0,97.53333333333333,38.025000000000006,6.958084052995808,10.633333333333333,33859.0,False,False
41,24.037037037037038,155.4320987654321,34.222500000000004,6.601018127508749,10.222222222222221,31619.0,False,False
42,24.163265306122447,366.7959183673469,41.405,7.260749503306075,9.877551020408163,28833.0,False,False
43,22.3265306122449,148.6530612244898,20.7025,5.134125210284583,8.63265306122449,31294.0,False,False
44,22.24590163934426,453.55737704918033,25.7725,5.728399965669906,9.0,30131.0,False,False
45,22.68,1.36,10.562500000000002,3.6672322930604158,12.6,15675.0,False,False
46,25.473684210526315,48.305263157894736,40.1375,7.148751795020415,15.536842105263158,38422.0,False,False
47,24.57894736842105,297.89473684210526,24.082500000000003,5.537399329656889,12.263157894736842,38591.0,False,False
48,26.821428571428573,257.4761904761905,35.49,6.722147829574334,11.023809523809524,42377.0,False,False
49,29.657894736842106,267.3421052631579,32.11000000000001,6.394037987175715,13.5,42938.0,False,False
50,27.28846153846154,28.346153846153847,21.970000000000002,5.288957628666685,9.653846153846153,35801.0,False,False
51,28.689655172413794,289.1896551724138,24.505000000000003,5.58576181408903,15.862068965517242,41196.0,False,False
52,30.304761904761904,591.4857142857143,44.362500000000004,7.51558975086544,11.038095238095238,33635.0,False,False
