label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score
1,285.0,406.5,45.63,7.622199185685551,14977.0,True,True,29,PV+/PNN+,79.8525,10.0832217443615,45.63,7.622199185685551,0.9430011510848999
2,356.5,354.5,47.32000000000001,7.762067717874401,13342.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9814930558204651
3,475.5,115.5,47.32000000000001,7.762067717874401,12653.0,True,True,65,PV+/PNN+,75.62750000000001,9.812844830601293,47.32000000000001,7.762067717874401,0.8334844708442688
4,243.5,318.0,45.63,7.622199185685551,8018.0,True,True,20,PV+/PNN+,69.7125,9.421290344870497,45.63,7.622199185685551,0.9672492146492004
5,203.5,379.5,47.32000000000001,7.762067717874401,6405.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9706795811653137
6,337.5,478.0,45.63,7.622199185685551,5967.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.8346902132034302
7,337.5,426.0,45.63,7.622199185685551,12775.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9670871496200562
8,219.0,300.0,47.74250000000001,7.796642800880295,10411.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.97444087266922
9,276.5,74.0,45.63,7.622199185685551,13945.0,True,True,26,PV+/PNN+,114.07500000000002,12.051755103123515,45.63,7.622199185685551,0.9706234335899353
10,458.0,399.0,47.74250000000001,7.796642800880295,9003.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9784709811210632
11,342.5,136.0,45.63,7.622199185685551,9409.0,True,True,39,PV+/PNN+,76.47250000000001,9.867512912824576,45.63,7.622199185685551,0.9827293157577515
12,161.0,324.0,47.74250000000001,7.796642800880295,4636.0,True,True,11,PV+/PNN+,75.62750000000001,9.812844830601293,47.74250000000001,7.796642800880295,0.9669960737228394
13,467.5,473.0,45.63,7.622199185685551,11075.0,True,True,61,PV+/PNN+,105.62500000000001,11.596806754993013,45.63,7.622199185685551,0.9790831208229065
14,37.0,150.5,45.63,7.622199185685551,3518.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.7538726925849915
15,240.0,37.5,45.63,7.622199185685551,5486.0,True,True,19,PV+/PNN+,74.36000000000001,9.730266828124844,45.63,7.622199185685551,0.9309930801391602
16,323.0,247.0,47.74250000000001,7.796642800880295,13855.0,True,True,35,PV+/PNN+,54.080000000000005,8.297999432349801,47.74250000000001,7.796642800880295,0.9768173098564148
17,130.5,350.0,45.63,7.622199185685551,3108.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9393723011016846
18,300.5,89.5,47.32000000000001,7.762067717874401,17202.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9464719295501709
19,103.5,303.0,45.63,7.622199185685551,1540.0,True,True,4,PV+/PNN+,99.28750000000001,11.24352130330585,45.63,7.622199185685551,0.8928971290588379
20,275.5,354.0,45.63,7.622199185685551,7309.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9762821793556213
