label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score
1,305.0,99.0,47.74250000000001,7.796642800880295,6683.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9686300158500671
2,388.5,377.5,47.32000000000001,7.762067717874401,18254.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9059885740280151
3,232.5,356.5,47.32000000000001,7.762067717874401,6143.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9336117506027222
4,356.5,262.5,47.32000000000001,7.762067717874401,11505.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9403312802314758
5,185.0,342.0,47.74250000000001,7.796642800880295,3932.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.7191023230552673
6,318.5,472.0,45.63,7.622199185685551,14385.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9719817638397217
7,400.5,217.0,45.63,7.622199185685551,12945.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9041814208030701
8,475.5,468.0,45.63,7.622199185685551,10975.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9548305869102478
9,159.5,214.0,45.63,7.622199185685551,2685.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.7473850250244141
10,452.5,244.5,47.32000000000001,7.762067717874401,11921.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9590891599655151
11,236.0,493.0,47.74250000000001,7.796642800880295,6031.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.8949280381202698
12,374.5,86.0,45.63,7.622199185685551,5239.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.911346971988678
13,420.0,416.5,45.63,7.622199185685551,13449.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9087029695510864
14,372.0,457.0,47.74250000000001,7.796642800880295,14800.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9683164954185486
15,414.0,256.5,45.63,7.622199185685551,13103.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9053092002868652
16,292.0,419.0,47.74250000000001,7.796642800880295,11057.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9428579211235046
17,321.0,326.5,45.63,7.622199185685551,6959.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.8771598935127258
18,343.5,443.5,47.32000000000001,7.762067717874401,9852.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.8534873723983765
19,459.5,365.0,45.63,7.622199185685551,6763.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9565024971961975
20,286.5,202.5,47.32000000000001,7.762067717874401,4626.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.7407796382904053
21,309.5,242.0,45.63,7.622199185685551,4578.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9245327115058899
22,384.5,236.5,47.32000000000001,7.762067717874401,9755.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9562787413597107
23,444.5,291.5,47.32000000000001,7.762067717874401,6860.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.8708051443099976
24,222.5,245.0,45.63,7.622199185685551,2938.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.6424092054367065
25,406.0,65.0,47.74250000000001,7.796642800880295,7200.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.7617842555046082
26,303.0,490.5,45.63,7.622199185685551,8104.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.8268882632255554
27,210.0,463.0,47.74250000000001,7.796642800880295,3578.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.6772324442863464
28,345.0,296.0,47.74250000000001,7.796642800880295,4609.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.8312156796455383
29,471.0,301.5,45.63,7.622199185685551,5604.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.529166579246521
30,281.0,960.5,45.63,7.622199185685551,13286.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9267125129699707
31,40.0,748.0,47.74250000000001,7.796642800880295,4839.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.7618570923805237
32,489.5,604.5,47.32000000000001,7.762067717874401,10311.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9692191481590271
33,233.0,766.5,45.63,7.622199185685551,8734.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9415646195411682
34,185.0,730.0,47.74250000000001,7.796642800880295,7537.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9007461071014404
35,404.5,933.0,45.63,7.622199185685551,8709.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9576345086097717
36,405.5,514.5,47.32000000000001,7.762067717874401,9069.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.8908704519271851
37,300.5,524.0,45.63,7.622199185685551,11953.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9389457702636719
38,479.5,892.5,47.32000000000001,7.762067717874401,8624.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.8557689785957336
39,409.0,809.5,45.63,7.622199185685551,7087.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.8221256136894226
40,214.5,836.5,47.32000000000001,7.762067717874401,6029.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9229970574378967
41,260.0,604.0,47.74250000000001,7.796642800880295,10658.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9172302484512329
42,362.0,571.0,47.74250000000001,7.796642800880295,11829.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9377267360687256
43,359.0,687.5,45.63,7.622199185685551,10683.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9308212995529175
44,337.5,625.0,45.63,7.622199185685551,14692.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9472866654396057
45,223.0,805.0,47.74250000000001,7.796642800880295,8838.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.8809247612953186
46,344.0,544.0,47.74250000000001,7.796642800880295,16289.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.8935445547103882
47,169.5,670.0,45.63,7.622199185685551,4309.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9287195205688477
48,413.0,643.0,47.74250000000001,7.796642800880295,8363.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9372551441192627
49,228.5,605.0,45.63,7.622199185685551,5911.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9110903143882751
50,271.5,560.5,47.32000000000001,7.762067717874401,12010.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9011761546134949
