label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score
1,215.0,635.5,45.63,7.800000000000001,9579.0,88.69444444444444,40.265765765765764,0.001353390469893102,0.000614416201507069,0.0007179346034448786,True,True,1,PV+/PNN+,135.6225,13.14077357524452,45.63,7.800000000000001,0.9292771220207214
2,878.5,1144.5,47.32000000000001,7.800000000000001,10300.0,91.96428571428571,64.3578947368421,0.0014032850494283316,0.000982038525014757,0.00042938887617303734,True,True,2,PV+/PNN+,105.62500000000001,11.596806754993013,47.32000000000001,7.800000000000001,0.9590029716491699
3,491.0,575.0,47.74250000000001,7.800000000000001,20831.0,184.34513274336283,88.36436170212765,0.002812926417080382,0.0013483537301003685,0.0006042231687362248,True,True,3,PV+/PNN+,151.25500000000002,13.877458244899065,47.74250000000001,7.800000000000001,0.8983686566352844
4,301.5,1191.5,47.32000000000001,7.800000000000001,8439.0,75.34821428571429,45.52549019607843,0.0011497400516626885,0.000694674451759799,0.0006162629503750696,True,True,4,PV+/PNN+,89.57000000000001,10.679141633199201,47.32000000000001,7.800000000000001,0.9383085370063782
5,845.0,629.0,47.74250000000001,7.800000000000001,10643.0,94.1858407079646,45.2090395480226,0.001437183805721593,0.0006898457243918914,0.0008278371510232348,True,True,5,PV+/PNN+,137.3125,13.222394071666713,47.74250000000001,7.800000000000001,0.9790453910827637
6,287.0,945.0,47.74250000000001,7.800000000000001,6792.0,60.10619469026549,34.80102040816327,0.0009171617409058593,0.0005310295324355423,0.0005354404530417349,True,True,6,PV+/PNN+,93.79500000000002,10.928106107575758,47.74250000000001,7.800000000000001,0.9379419684410095
7,679.5,947.5,47.32000000000001,7.800000000000001,8799.0,78.5625,43.46687697160883,0.0011987869077592127,0.0006632620274907887,0.0007160937444086825,True,True,7,PV+/PNN+,95.48500000000001,11.026117989983467,47.32000000000001,7.800000000000001,0.9767909049987793
8,986.5,1024.5,47.32000000000001,7.800000000000001,9113.0,81.36607142857143,55.12720848056537,0.0012415666655767365,0.0008411872813086957,0.00035312796794553054,True,True,8,PV+/PNN+,98.02000000000001,11.17152362817806,47.32000000000001,7.800000000000001,0.8553734421730042
9,732.5,735.0,45.63,7.800000000000001,9353.0,86.60185185185185,60.66346153846154,0.001321459553701867,0.0009256650879447859,0.0006401915763325697,True,True,9,PV+/PNN+,93.79500000000002,10.928106107575758,45.63,7.800000000000001,0.9462825059890747
10,152.0,285.5,45.63,7.800000000000001,3096.0,28.666666666666668,18.1549815498155,0.0004374252943719641,0.00027702726100275424,0.0006095323316924707,True,True,10,PV+/PNN+,93.3725,10.903465476204527,45.63,7.800000000000001,0.8601081967353821
11,235.5,197.0,45.63,7.800000000000001,4758.0,44.05555555555556,28.555555555555557,0.000672244686893348,0.0004357298474945534,0.0006196293187977021,True,True,11,PV+/PNN+,114.07500000000002,12.051755103123515,45.63,7.800000000000001,0.9712741374969482
12,371.5,98.5,47.32000000000001,7.800000000000001,10724.0,95.75,64.53333333333333,0.0014610513466086824,0.0009847155464001423,0.000729740282471423,True,True,12,PV+/PNN+,114.92000000000002,12.096308878371323,47.32000000000001,7.800000000000001,0.9708524346351624
13,341.5,490.5,47.32000000000001,7.800000000000001,19525.0,174.33035714285714,97.65917602996255,0.0026601107369017647,0.0014901835054545289,0.0006765680764307452,True,True,13,PV+/PNN+,76.05000000000001,9.840216835878625,47.32000000000001,7.800000000000001,0.9620729088783264
14,970.5,1211.5,47.32000000000001,7.800000000000001,13151.0,117.41964285714286,70.19858156028369,0.0017917089014594166,0.0010711616931453984,0.00041801320535353687,True,True,14,PV+/PNN+,92.105,10.829207185562208,47.32000000000001,7.800000000000001,0.9719700813293457
15,691.0,355.0,47.74250000000001,7.800000000000001,13508.0,119.53982300884955,48.080882352941174,0.0018240607768192502,0.000733667236636014,0.0006166032030074144,True,True,15,PV+/PNN+,130.13000000000002,12.8719331087598,47.74250000000001,7.800000000000001,0.9752388596534729
16,636.0,845.5,45.63,7.800000000000001,6649.0,61.56481481481482,50.91338582677165,0.0009394188573253196,0.0007768884691656619,0.0009628730722888965,True,True,16,PV+/PNN+,111.9625,11.93964331659077,45.63,7.800000000000001,0.8511970043182373
17,621.5,91.5,47.32000000000001,7.800000000000001,6032.0,53.857142857142854,42.25552050473186,0.0008218073221506502,0.0006447779126380082,0.0009153505760280766,True,True,17,PV+/PNN+,101.4,11.362503678157625,47.32000000000001,7.800000000000001,0.9754691123962402
18,365.5,243.0,45.63,7.800000000000001,10076.0,93.29629629629629,46.6578947368421,0.0014236102280658623,0.0007119538374432304,0.000562060202710237,True,True,18,PV+/PNN+,109.85000000000001,11.826468787814798,45.63,7.800000000000001,0.9634467959403992
19,454.5,733.5,47.32000000000001,7.800000000000001,16024.0,143.07142857142858,102.67901234567901,0.0021831300613630667,0.0015667812977138782,0.0006504764670026347,True,True,19,PV+/PNN+,119.56750000000001,12.338479212006703,47.32000000000001,7.800000000000001,0.8686268925666809
20,291.5,120.5,47.32000000000001,7.800000000000001,11305.0,100.9375,55.680952380952384,0.001540207522697795,0.0008496368716098631,0.0008479522720262342,True,True,20,PV+/PNN+,68.8675,9.364017532397558,47.32000000000001,7.800000000000001,0.9807448387145996
21,877.0,770.0,47.74250000000001,7.800000000000001,5793.0,51.26548672566372,34.263665594855304,0.0007822611844917024,0.0005228300235729809,0.0004931605570829898,True,True,21,PV+/PNN+,70.135,9.449796583524995,47.74250000000001,7.800000000000001,0.8808979392051697
22,576.0,1036.0,47.74250000000001,7.800000000000001,10380.0,91.85840707964601,48.72241992882562,0.0014016694450239722,0.0007434564725539883,0.001030983080651197,True,True,22,PV+/PNN+,70.98,9.506552628860888,47.74250000000001,7.800000000000001,0.9760357141494751
23,601.0,294.5,45.63,7.800000000000001,8781.0,81.30555555555556,54.77178423236514,0.0012406432525452896,0.0008357638549227915,0.0008675092202451891,True,True,23,PV+/PNN+,85.76750000000001,10.450003476223014,45.63,7.800000000000001,0.9675930738449097
24,439.0,673.5,45.63,7.800000000000001,16672.0,154.37037037037038,79.13656387665198,0.002355540861682618,0.0012075465610231475,0.0007059740574077478,True,True,24,PV+/PNN+,85.76750000000001,10.450003476223014,45.63,7.800000000000001,0.9404980540275574
25,829.0,944.5,45.63,7.800000000000001,6326.0,58.574074074074076,39.50381679389313,0.0008937830788750145,0.0006027896054610991,0.0007916484598791763,True,True,25,PV+/PNN+,74.36000000000001,9.730266828124844,45.63,7.800000000000001,0.960335910320282
26,758.0,670.0,47.74250000000001,7.800000000000001,6856.0,60.67256637168141,40.50990099009901,0.0009258040187942536,0.0006181414662409249,0.0004381740450234094,True,True,26,PV+/PNN+,83.2325,10.294411610537507,47.74250000000001,7.800000000000001,0.9410141110420227
27,874.0,675.0,47.74250000000001,7.800000000000001,12008.0,106.26548672566372,40.91538461538462,0.0016215073888100056,0.0006243287497579098,0.0006352792785982418,True,True,27,PV+/PNN+,92.105,10.829207185562208,47.74250000000001,7.800000000000001,0.8874107003211975
28,477.0,1018.5,45.63,7.800000000000001,19406.0,179.6851851851852,85.57037037037037,0.0027418201752526924,0.0013057201551899041,0.0006550644425300379,True,True,28,PV+/PNN+,84.07750000000001,10.346535546861599,45.63,7.800000000000001,0.9636954069137573
29,851.5,397.5,47.32000000000001,7.800000000000001,12800.0,114.28571428571429,74.84269662921348,0.0017438882167653054,0.001142026346672976,0.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.800000000000001,0.9829954504966736
30,429.0,878.5,45.63,7.800000000000001,18693.0,173.08333333333334,95.69767441860465,0.002641082373286539,0.0014602529094164133,0.0009506293184677928,True,True,30,PV+/PNN+,83.2325,10.294411610537507,45.63,7.800000000000001,0.9172620177268982
31,514.5,904.5,47.32000000000001,7.800000000000001,12696.0,113.35714285714286,77.93564356435644,0.0017297191250040874,0.0011892216916816424,0.0006131510970146814,True,True,31,PV+/PNN+,73.93750000000001,9.702584647343,47.32000000000001,7.800000000000001,0.8998030424118042
32,665.0,266.0,47.74250000000001,7.800000000000001,7482.0,66.21238938053098,43.94820717131474,0.0010103362993901118,0.0006706066555476423,0.0011878724684858814,True,True,32,PV+/PNN+,91.26,10.779417463505668,47.74250000000001,7.800000000000001,0.9568910002708435
33,213.0,407.0,47.74250000000001,7.800000000000001,6076.0,53.769911504424776,27.973384030418252,0.0008204762570294466,0.0004268464794448501,0.0005925166477820507,True,True,33,PV+/PNN+,102.245,11.409749219480977,47.74250000000001,7.800000000000001,0.9327150583267212
34,183.0,472.5,45.63,7.800000000000001,2805.0,25.97222222222222,17.527675276752767,0.00039631070759475425,0.000267455180846155,0.0010578646600110958,True,True,34,PV+/PNN+,68.44500000000001,9.335249361393526,45.63,7.800000000000001,0.9376771450042725
35,878.5,427.0,45.63,7.800000000000001,16223.0,150.21296296296296,120.20689655172414,0.0022921028910195007,0.0018342396666166804,0.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.800000000000001,0.9208312630653381
36,837.0,560.5,45.63,7.800000000000001,5212.0,48.25925925925926,27.392996108949415,0.0007363890937553865,0.000417990327442579,0.0005631553060002045,True,True,36,PV+/PNN+,99.28750000000001,11.24352130330585,45.63,7.800000000000001,0.9410094618797302
37,383.5,1147.0,45.63,7.800000000000001,8276.0,76.62962962962963,41.345,0.0011692931964542555,0.0006308842603189135,0.0006008047207406329,True,True,37,PV+/PNN+,83.65500000000002,10.320506485382394,45.63,7.800000000000001,0.9338501691818237
38,760.0,373.0,47.74250000000001,7.800000000000001,10780.0,95.39823008849558,61.67669172932331,0.0014556836818264375,0.0009411259896135395,0.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.800000000000001,0.9672072529792786
39,181.0,158.0,47.74250000000001,7.800000000000001,5949.0,52.64601769911504,28.58269720101781,0.0008033267368446638,0.0004361440024569743,0.0005896261284101449,True,True,39,PV+/PNN+,88.30250000000001,10.603312449370561,47.74250000000001,7.800000000000001,0.9322405457496643
40,677.0,878.5,45.63,7.800000000000001,6613.0,61.23148148148148,48.46666666666667,0.0009343325166930874,0.0007395539279265533,0.0006478404089136597,True,True,40,PV+/PNN+,91.6825,10.804341005363613,45.63,7.800000000000001,0.9461661577224731
