label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score
1,665.0,627.5,45.63,7.800000000000001,12665.0,117.26851851851852,152.39912280701753,0.001789402891867224,0.0023254615519496076,0.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.800000000000001,0.9108409285545349
2,160.5,939.5,47.32000000000001,7.800000000000001,14477.0,129.25892857142858,146.1124031007752,0.0019723648214149477,0.0022295323582936627,0.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.800000000000001,0.9245147109031677
3,675.5,389.0,45.63,7.800000000000001,10162.0,94.0925925925926,92.91772151898734,0.001435760930687306,0.001417833547249368,0.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.800000000000001,0.9731351733207703
4,232.5,1184.5,47.32000000000001,7.800000000000001,6074.0,54.232142857142854,38.67700258397933,0.0008275294553619113,0.0005901732293275247,0.0006105820211127365,True,True,4,PV+/PNN+,87.45750000000001,10.552456940621719,47.32000000000001,7.800000000000001,0.927790641784668
5,546.5,257.5,47.32000000000001,7.800000000000001,15224.0,135.92857142857142,113.890625,0.002074137047815235,0.0017378595407034408,0.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.800000000000001,0.8662271499633789
6,836.5,774.0,45.63,7.800000000000001,14025.0,129.86111111111111,191.38910505836577,0.0019815535379737715,0.002920410544874735,0.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.800000000000001,0.8385747671127319
7,1045.0,987.5,45.63,7.800000000000001,4204.0,38.925925925925924,31.788690476190474,0.0005939715560528866,0.00048506432404349544,0.000472218812899697,True,True,7,PV+/PNN+,87.45750000000001,10.552456940621719,45.63,7.800000000000001,0.8858965039253235
8,495.0,668.0,47.74250000000001,7.800000000000001,9226.0,81.64601769911505,53.358695652173914,0.00124583837184886,0.0008142015053356819,0.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.800000000000001,0.9221715331077576
9,348.0,321.0,47.74250000000001,7.800000000000001,16872.0,149.30973451327435,113.33333333333333,0.002278320508327983,0.0017293558149589277,0.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.800000000000001,0.9540668725967407
10,152.0,1097.5,45.63,7.800000000000001,2781.0,25.75,26.385382059800666,0.0003929198138399329,0.0004026151226031993,0.0006205595078498325,True,True,10,PV+/PNN+,82.81,10.268250420569165,45.63,7.800000000000001,0.7562505602836609
