label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus
1,13.731481481481481,1171.8148148148148,45.63,7.622199185685551,1545.0,False,True
2,26.363636363636363,608.3727272727273,92.95,10.878769033449206,1961.0,False,True
3,29.156398104265403,1049.3886255924172,89.14750000000001,10.653925206902757,1954.0,False,True
4,35.19770773638969,904.1002865329513,147.45250000000001,13.701910595608979,8370.0,True,True
5,32.28703703703704,1202.5694444444443,91.26,10.779417463505668,4113.0,False,True
6,41.691629955947135,1234.8105726872247,95.90750000000001,11.050485131282139,2770.0,False,True
7,48.691943127962084,1130.0284360189573,89.14750000000001,10.653925206902757,2228.0,False,True
8,54.62357414448669,443.79847908745245,111.1175,11.894502726558576,2491.0,False,True
9,53.94736842105263,792.0087719298245,48.165000000000006,7.831065232276457,1964.0,False,True
10,58.79558011049724,980.8674033149172,76.47250000000001,9.867512912824576,1656.0,False,True
11,61.8046875,539.94140625,108.16000000000001,11.735143337793332,4011.0,False,True
12,61.51898734177215,1175.7932489451478,100.13250000000001,11.291264708312957,1667.0,False,True
13,69.71978021978022,810.0714285714286,76.89500000000001,9.894733689817546,3962.0,False,True
14,82.55465587044534,595.0728744939271,104.35750000000002,11.5270159100133,2109.0,False,True
15,86.64018691588785,357.5140186915888,90.415,10.72939669493256,2036.0,False,True
16,89.43666666666667,430.68,126.75000000000001,12.703665309475918,7273.0,True,True
17,87.63247863247864,468.84615384615387,98.86500000000001,11.219573413915606,2056.0,False,True
18,88.171875,691.375,81.12,10.162932247580734,4312.0,False,True
19,93.86274509803921,565.7254901960785,107.73750000000001,11.712200709128265,2895.0,False,True
20,116.83582089552239,148.17910447761193,84.92250000000001,10.39839820538586,1446.0,False,True
21,124.43891402714932,454.8778280542986,93.3725,10.903465476204527,7168.0,True,True
22,123.77083333333333,967.9583333333334,81.12,10.162932247580734,7513.0,True,True
23,125.78846153846153,1178.0961538461538,87.88000000000001,10.57791525733337,4663.0,False,True
24,129.23333333333332,672.5592592592593,114.07500000000002,12.051755103123515,8515.0,True,True
25,128.4812030075188,272.3383458646617,112.385,11.9621497330146,4739.0,False,True
26,127.0925925925926,317.39814814814815,91.26,10.779417463505668,8735.0,True,True
27,130.03636363636363,1147.8818181818183,46.475,7.692451354514157,2776.0,False,True
28,132.7680412371134,217.0,81.965,10.215727056074748,2057.0,False,True
29,164.3475935828877,249.8235294117647,79.00750000000001,10.029729474450614,2642.0,False,True
30,166.21097046413502,711.6540084388186,100.13250000000001,11.291264708312957,11526.0,True,True
31,170.87309644670052,648.8984771573604,83.2325,10.294411610537507,5500.0,True,True
32,173.3686274509804,800.4549019607844,107.73750000000001,11.712200709128265,8743.0,True,True
33,174.38095238095238,896.6349206349206,53.23500000000001,8.232916079007266,13440.0,True,True
34,177.662100456621,780.9086757990867,92.5275,10.854016398342266,14454.0,True,True
35,196.1578947368421,339.8038277511962,88.30250000000001,10.603312449370561,4797.0,False,True
36,195.49328859060404,803.4530201342282,125.90500000000002,12.661248946288065,7874.0,True,True
37,200.96747967479675,260.8577235772358,103.93500000000002,11.50365820433001,4446.0,False,True
38,200.50592885375494,678.4664031620554,106.89250000000001,11.666180096141298,8416.0,True,True
39,202.53781512605042,1037.3949579831933,50.2775,8.000956268498294,15506.0,True,True
40,207.36681222707423,39.698689956331876,96.75250000000001,11.099058926413035,1795.0,False,True
41,222.62248995983936,291.714859437751,105.20250000000001,11.573589901365995,19140.0,True,True
42,217.96385542168676,741.0240963855422,35.0675,6.682015245043993,14341.0,True,True
43,221.69767441860466,1065.8372093023256,54.502500000000005,8.33035043001963,12917.0,True,True
44,230.1107142857143,251.10357142857143,118.30000000000001,12.272906670474185,17983.0,True,True
45,233.54285714285714,1018.9238095238095,44.362500000000004,7.51558975086544,6067.0,True,True
46,238.6045197740113,319.1186440677966,74.78250000000001,9.75787047742269,6127.0,True,True
47,237.8468085106383,1183.7063829787235,99.28750000000001,11.24352130330585,8422.0,True,True
48,249.03472222222223,434.625,60.84,8.801357503344999,5087.0,True,True
49,251.3062200956938,1160.8373205741627,88.30250000000001,10.603312449370561,10759.0,True,True
50,252.3903743315508,1209.2085561497327,79.00750000000001,10.029729474450614,7823.0,True,True
51,252.1264367816092,646.3448275862069,73.515,9.6748232609803,9948.0,True,True
52,253.43312101910828,1251.0445859872611,66.33250000000001,9.190057785517194,4910.0,False,True
53,264.45255474452557,702.92700729927,57.88250000000001,8.584770698634475,9849.0,True,True
54,269.7922077922078,2.6103896103896105,32.532500000000006,6.4359665543799,1663.0,False,True
55,271.85616438356163,469.027397260274,61.68500000000001,8.86226727857993,13287.0,True,True
56,273.8498023715415,676.6561264822135,106.89250000000001,11.666180096141298,23839.0,True,True
57,284.01973684210526,1075.8486842105262,64.22000000000001,9.042535239792663,7567.0,True,True
58,288.69565217391306,1229.207729468599,87.45750000000001,10.552456940621719,4096.0,False,True
59,293.45911949685535,436.52201257861634,67.17750000000001,9.24840794496255,21566.0,True,True
60,302.82022471910113,1038.2808988764045,75.20500000000001,9.785396259825553,6313.0,True,True
61,301.5,782.85,33.800000000000004,6.560144557252417,10693.0,True,True
62,304.4945054945055,414.4835164835165,38.447500000000005,6.996633290104976,18078.0,True,True
63,317.1417322834646,810.3149606299213,53.657500000000006,8.265521814841879,5000.0,False,True
64,321.17241379310343,481.2298850574713,73.515,9.6748232609803,18844.0,True,True
65,326.0059171597633,686.2485207100592,71.4025,9.534803961957083,8133.0,True,True
66,342.1865671641791,865.7014925373135,56.61500000000001,8.490256581822557,5316.0,True,True
67,349.76190476190476,272.57142857142856,70.98,9.506552628860888,11798.0,True,True
68,352.85585585585585,443.56756756756755,46.89750000000001,7.727337934192946,17840.0,True,True
69,360.75252525252523,935.9949494949495,83.65500000000002,10.320506485382394,7753.0,True,True
70,362.2525773195876,181.18041237113403,81.965,10.215727056074748,6973.0,True,True
71,360.9478672985782,873.9478672985782,89.14750000000001,10.653925206902757,5596.0,True,True
72,361.5204678362573,74.77777777777777,72.2475,9.591056980763573,5456.0,True,True
73,365.68,237.235,84.50000000000001,10.37249929043725,19240.0,True,True
74,370.7976878612717,260.66473988439304,73.0925,9.646981985240508,19818.0,True,True
75,370.56028368794324,366.0070921985816,59.572500000000005,8.709194152086374,20279.0,True,True
76,373.92957746478874,431.3943661971831,59.995000000000005,8.740023254338977,17164.0,True,True
77,377.53333333333336,622.82,63.37500000000001,8.982847886254723,13918.0,True,True
78,391.0269230769231,782.35,109.85000000000001,11.826468787814798,4441.0,False,True
79,388.78333333333336,727.4444444444445,76.05000000000001,9.840216835878625,10754.0,True,True
80,395.4709677419355,608.6838709677419,65.48750000000001,9.131334770220834,8475.0,True,True
81,394.203125,1174.171875,54.080000000000005,8.297999432349801,16596.0,True,True
82,412.531914893617,605.3404255319149,59.572500000000005,8.709194152086374,9973.0,True,True
83,425.1703703703704,69.62222222222222,57.03750000000001,8.521877758618217,7907.0,True,True
84,436.36964980544747,472.82101167315176,108.58250000000001,11.758041200225733,10164.0,True,True
85,437.49295774647885,52.37323943661972,59.995000000000005,8.740023254338977,14782.0,True,True
86,437.64606741573033,637.3202247191011,75.20500000000001,9.785396259825553,8148.0,True,True
87,445.22222222222223,524.0432098765432,68.44500000000001,9.335249361393526,18240.0,True,True
88,446.53333333333336,551.1166666666667,25.35,5.681251839078812,5299.0,True,True
89,455.8960396039604,504.6732673267327,85.34500000000001,10.424232774905905,19639.0,True,True
90,458.95705521472394,429.16564417177915,68.8675,9.364017532397558,9403.0,True,True
91,461.6612021857924,684.4699453551913,77.31750000000001,9.92187978661609,18547.0,True,True
92,462.8627450980392,493.9477124183006,64.64250000000001,9.072231658778492,10111.0,True,True
93,467.00409836065575,566.0696721311475,103.09,11.456799931339813,8117.0,True,True
94,495.3333333333333,123.92666666666666,63.37500000000001,8.982847886254723,15148.0,True,True
95,523.4835164835165,969.032967032967,76.89500000000001,9.894733689817546,17352.0,True,True
96,526.1111111111111,82.3395061728395,68.44500000000001,9.335249361393526,30596.0,True,True
97,530.5087719298245,104.71929824561404,48.165000000000006,7.831065232276457,19296.0,True,True
98,539.9488188976378,1092.5826771653544,107.31500000000001,11.689213050640065,6002.0,True,True
99,539.5090909090909,117.22424242424242,69.7125,9.421290344870497,22471.0,True,True
100,552.3957219251337,572.8663101604278,79.00750000000001,10.029729474450614,27653.0,True,True
101,562.7488151658767,984.4123222748815,89.14750000000001,10.653925206902757,6177.0,True,True
102,565.9948186528497,963.6010362694301,81.5425,10.18936384552868,11129.0,True,True
103,567.9678899082569,616.5229357798165,92.105,10.829207185562208,24752.0,True,True
104,578.9086757990867,651.662100456621,92.5275,10.854016398342266,15658.0,True,True
105,577.8181818181819,731.5818181818182,69.7125,9.421290344870497,7543.0,True,True
106,578.0754716981132,198.18867924528303,89.57000000000001,10.679141633199201,18900.0,True,True
107,578.7297297297297,911.1351351351351,93.79500000000002,10.928106107575758,14493.0,True,True
108,587.9409836065573,576.8754098360656,128.8625,12.809091725545372,30903.0,True,True
109,583.6666666666666,1030.4814814814815,68.44500000000001,9.335249361393526,3949.0,False,True
110,594.2809917355372,790.1487603305785,51.1225,8.067911044732915,9512.0,True,True
111,597.2358490566038,188.87735849056602,44.785000000000004,7.5512934660867375,10438.0,True,True
112,601.8351648351648,949.0824175824176,76.89500000000001,9.894733689817546,8592.0,True,True
113,606.2515723270441,581.2327044025158,67.17750000000001,9.24840794496255,18012.0,True,True
114,606.5114503816794,152.22137404580153,55.347500000000004,8.394678415652944,22056.0,True,True
115,608.1924686192468,905.5523012552301,100.9775,11.338807085778242,8559.0,True,True
116,609.5238095238095,791.1190476190476,70.98,9.506552628860888,12569.0,True,True
117,613.7,706.3090909090909,92.95,10.878769033449206,14671.0,True,True
118,613.2748538011696,89.84795321637426,72.2475,9.591056980763573,5069.0,True,True
119,615.6684491978609,674.7700534759358,79.00750000000001,10.029729474450614,9539.0,True,True
120,619.1960784313726,220.94117647058823,64.64250000000001,9.072231658778492,15358.0,True,True
121,631.5940170940171,981.9700854700855,98.86500000000001,11.219573413915606,7104.0,True,True
122,634.6510416666666,687.984375,81.12,10.162932247580734,28006.0,True,True
123,637.0384615384615,1154.198717948718,65.91000000000001,9.160743331929707,3189.0,False,True
124,641.4414414414415,662.3873873873874,93.79500000000002,10.928106107575758,12977.0,True,True
125,643.7112970711297,792.4100418410042,100.9775,11.338807085778242,10157.0,True,True
126,646.3121387283237,771.3526011560693,73.0925,9.646981985240508,10183.0,True,True
127,648.7727272727273,183.21969696969697,55.77,8.426658258757147,5336.0,True,True
128,648.8588235294118,1174.5470588235294,71.825,9.562971834142516,6885.0,True,True
129,660.8239436619718,100.14084507042253,59.995000000000005,8.740023254338977,12467.0,True,True
130,667.7007874015748,159.88976377952756,53.657500000000006,8.265521814841879,4801.0,False,True
131,681.8037974683544,1224.6582278481012,66.75500000000001,9.219279028687428,2530.0,False,True
132,694.6136363636364,553.0284090909091,74.36000000000001,9.730266828124844,8292.0,True,True
133,696.0119047619048,725.5595238095239,35.49,6.722147829574334,14739.0,True,True
134,708.1009615384615,514.0240384615385,87.88000000000001,10.57791525733337,7421.0,True,True
135,776.0868055555555,663.6076388888889,121.68,12.446999148524698,8724.0,True,True
136,781.2706270627062,896.3432343234324,128.0175,12.767025629258121,15959.0,True,True
137,783.8102766798419,685.7628458498024,106.89250000000001,11.666180096141298,6059.0,True,True
138,787.3819444444445,1177.8958333333333,60.84,8.801357503344999,4970.0,False,True
139,810.8031088082902,880.5388601036269,81.5425,10.18936384552868,6647.0,True,True
140,812.568093385214,821.284046692607,108.58250000000001,11.758041200225733,14672.0,True,True
141,818.0833333333334,960.280701754386,96.33000000000001,11.074798659313778,3673.0,False,True
142,837.3584337349398,604.3192771084338,140.27,13.364030490087986,8504.0,True,True
143,830.5521472392638,330.8773006134969,68.8675,9.364017532397558,5645.0,True,True
144,837.2673796791444,1069.0588235294117,79.00750000000001,10.029729474450614,3988.0,False,True
145,847.0902527075813,1019.3357400722022,117.03250000000001,12.206981896407397,4346.0,False,True
146,847.7224669603524,1088.942731277533,95.90750000000001,11.050485131282139,2228.0,False,True
147,851.426724137931,988.8836206896551,98.02000000000001,11.17152362817806,3739.0,False,True
148,850.9596774193549,829.3870967741935,52.39000000000001,8.167314108608483,2361.0,False,True
149,858.3938053097345,505.67699115044246,95.48500000000001,11.026117989983467,4046.0,False,True
150,853.39375,1143.48125,67.60000000000001,9.277445403994411,1781.0,False,True
151,863.7430340557275,796.6965944272446,136.4675,13.181646997668608,9783.0,True,True
152,863.8161764705883,552.7242647058823,114.92000000000002,12.096308878371323,8196.0,True,True
153,873.988326848249,285.2996108949416,108.58250000000001,11.758041200225733,6422.0,True,True
154,883.758152173913,471.1875,155.48000000000002,14.069942587495625,12515.0,True,True
155,883.9940119760479,327.7694610778443,141.115,13.404223153741603,11052.0,True,True
156,913.5579868708971,837.2472647702407,193.0825,15.679294448294765,8943.0,True,True
157,915.6322751322751,318.3809523809524,159.705,14.259828943291332,10735.0,True,True
158,917.1349206349206,403.13492063492066,53.23500000000001,8.232916079007266,10472.0,True,True
159,927.1174377224199,459.2455516014235,118.72250000000001,12.294803042335424,5282.0,True,True
160,948.4791086350975,473.3314763231198,151.6775,13.896826653828839,6406.0,True,True
161,947.3426294820717,220.70119521912352,106.04750000000001,11.619977221161072,3744.0,False,True
162,977.5356321839081,196.60689655172413,183.78750000000002,15.297238732137696,11569.0,True,True
163,979.7427536231884,11.36231884057971,116.61000000000001,12.18492771055977,16381.0,True,True
164,998.763358778626,388.381679389313,55.347500000000004,8.394678415652944,1445.0,False,True
165,1075.710407239819,11.832579185520363,93.3725,10.903465476204527,17239.0,True,True
166,1088.9180327868853,6.213114754098361,25.7725,5.728399965669906,6877.0,True,True
