label,centroid_y,centroid_x,area_um2,diameter_um,dapi_mean_intensity,wfa_sum_intensity,is_pnn_plus,is_pv_plus
1,1.6129032258064515,132.67741935483872,13.097500000000002,4.083657054304242,5.806451612903226,6587,False,False
2,6.6328125,385.890625,54.080000000000005,8.297999432349801,3.453125,7159,False,False
3,5.980582524271845,405.70873786407765,43.517500000000005,7.443668577254932,4.194174757281553,7063,False,False
4,1.2916666666666667,433.7916666666667,10.14,3.5931391545018894,5.083333333333333,6195,False,False
5,1.816326530612245,475.2244897959184,20.7025,5.134125210284583,4.448979591836735,6308,False,False
6,3.2181818181818183,542.4363636363636,23.2375,5.439384516724603,4.109090909090909,5901,False,False
7,2.927710843373494,551.5060240963855,35.0675,6.682015245043993,1.9156626506024097,5807,False,False
8,1.6129032258064515,562.8709677419355,13.097500000000002,4.083657054304242,2.967741935483871,5575,False,False
9,3.746268656716418,582.2985074626865,28.307500000000005,6.003518003020447,4.104477611940299,6419,False,False
10,2.306122448979592,627.2244897959183,20.7025,5.134125210284583,3.673469387755102,6067,False,False
11,3.8253968253968256,685.5396825396825,26.617500000000003,5.8215507884058,3.6031746031746033,6534,False,False
12,2.9066666666666667,714.2533333333333,31.687500000000004,6.351832654737959,4.693333333333333,6418,False,False
13,4.604166666666667,726.5625,40.56,7.186278309003779,3.9895833333333335,6679,False,False
14,3.888888888888889,748.5555555555555,30.42,6.223499574262349,3.4166666666666665,6341,False,False
15,3.8876404494382024,765.8988764044943,37.602500000000006,6.919320051920128,3.50561797752809,6207,False,False
16,2.1724137931034484,827.8965517241379,12.252500000000001,3.9497300568352243,3.586206896551724,6474,False,False
17,4.230769230769231,881.276923076923,27.462500000000002,5.913234393907399,3.769230769230769,6258,False,False
18,3.488095238095238,949.3690476190476,35.49,6.722147829574334,3.6666666666666665,6119,False,False
19,1.3142857142857143,973.3714285714286,14.787500000000001,4.339127765780955,3.6285714285714286,5615,False,False
20,2.35,991.8333333333334,25.35,5.681251839078812,4.25,5929,False,False
21,2.5526315789473686,1068.078947368421,16.055000000000003,4.5212676198963315,4.342105263157895,6155,False,False
22,1.7027027027027026,1081.6216216216217,15.632500000000002,4.4613806364255035,2.945945945945946,6041,False,False
23,3.661290322580645,1129.4193548387098,26.195000000000004,5.775163190277621,3.3870967741935485,6526,False,False
24,3.7555555555555555,1155.5555555555557,19.012500000000003,4.920108417939312,3.533333333333333,6576,False,False
25,2.4722222222222223,1217.6944444444443,15.21,4.4006787516724994,3.9722222222222223,6147,False,False
26,4.678571428571429,115.67857142857143,23.660000000000004,5.488610719338178,4.803571428571429,6067,False,False
27,6.0588235294117645,896.9058823529411,35.9125,6.762042232218129,3.3058823529411763,6492,False,False
28,6.958333333333333,1024.2222222222222,30.42,6.223499574262349,3.8333333333333335,7039,False,False
29,4.660377358490566,1099.8301886792453,22.392500000000002,5.3395708165996005,3.6037735849056602,6654,False,False
30,7.16,327.86,21.125000000000004,5.186249645218625,5.12,7376,False,False
31,12.030303030303031,601.6464646464647,41.82750000000001,7.297700121093632,3.6464646464646466,8546,False,False
32,6.5,1201.326923076923,21.970000000000002,5.288957628666685,3.4423076923076925,7058,False,False
33,11.330188679245284,275.12264150943395,44.785000000000004,7.5512934660867375,3.811320754716981,8126,False,False
34,11.875,290.38461538461536,43.940000000000005,7.479715609277069,4.134615384615385,8201,False,False
35,9.953125,712.625,27.040000000000003,5.867571668896666,4.25,7897,False,False
36,10.205882352941176,298.8382352941176,28.730000000000004,6.048154439185661,4.014705882352941,8134,False,False
37,9.431372549019608,1233.862745098039,21.547500000000003,5.237855390346407,3.4901960784313726,7230,False,False
38,10.973684210526315,377.9736842105263,16.055000000000003,4.5212676198963315,3.289473684210526,8014,False,False
39,16.22077922077922,550.577922077922,65.06500000000001,9.101831188183693,2.2142857142857144,8330,False,False
40,13.872549019607844,796.0588235294117,43.095000000000006,7.407446130776911,3.176470588235294,8865,False,False
41,12.656565656565656,927.6464646464647,41.82750000000001,7.297700121093632,3.292929292929293,7697,False,False
42,14.929203539823009,368.9734513274336,47.74250000000001,7.796642800880295,3.327433628318584,8774,False,False
43,13.428571428571429,1170.061224489796,20.7025,5.134125210284583,3.7755102040816326,8529,False,False
44,14.724137931034482,183.51724137931035,12.252500000000001,3.9497300568352243,3.793103448275862,9239,False,False
45,15.745454545454546,327.7090909090909,23.2375,5.439384516724603,4.109090909090909,9051,False,False
46,16.210526315789473,651.6052631578947,48.165000000000006,7.831065232276457,3.6228070175438596,8897,False,False
47,15.677966101694915,36.42372881355932,24.927500000000002,5.633709146857493,3.76271186440678,5681,False,False
48,15.976744186046512,206.51162790697674,18.1675,4.809530063215748,3.9767441860465116,9765,False,False
49,17.11864406779661,222.8135593220339,24.927500000000002,5.633709146857493,3.76271186440678,9941,False,False
50,16.875,135.575,16.900000000000002,4.638722701997206,4.2,9512,False,False
51,16.0,992.5,10.985000000000001,3.7398578046385347,3.0384615384615383,8544,False,False
52,21.46153846153846,363.017094017094,49.432500000000005,7.933436443000028,3.948717948717949,9835,False,False
53,19.560439560439562,467.7362637362637,38.447500000000005,6.996633290104976,3.2637362637362637,10007,False,False
54,19.136986301369863,511.4246575342466,30.842500000000005,6.266569289371519,3.767123287671233,10004,False,False
55,18.5,1110.0,18.590000000000003,4.865133414062422,3.8636363636363638,9389,False,False
56,18.513513513513512,128.1891891891892,15.632500000000002,4.4613806364255035,3.5405405405405403,9478,False,False
