label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score
1,442.5,986.0,45.63,7.800000000000001,9434.0,87.35185185185185,48.288056206088996,0.0013329038201243893,0.0007368285069976195,0.0006582646345052208,True,True,1,PV+/PNN+,121.25750000000001,12.425370984229163,45.63,7.800000000000001,0.9625083804130554
2,88.5,803.5,47.32000000000001,7.800000000000001,7499.0,66.95535714285714,26.823529411764707,0.0010216732607439862,0.0004093008226407981,0.0005862267085822656,True,True,2,PV+/PNN+,124.21500000000002,12.575987040756612,47.32000000000001,7.800000000000001,0.8794641494750977
3,203.5,1016.5,47.32000000000001,7.800000000000001,9244.0,82.53571428571429,46.44274809160305,0.001259414271545194,0.0007086709100725269,0.0005057275828619386,True,True,3,PV+/PNN+,100.555,11.315060866864318,47.32000000000001,7.800000000000001,0.9451941251754761
4,201.5,1203.5,47.32000000000001,7.800000000000001,14679.0,131.0625,66.51436031331593,0.0019998855573357746,0.0010149440804656433,0.0006945853460749498,True,True,4,PV+/PNN+,96.75250000000001,11.099058926413035,47.32000000000001,7.800000000000001,0.9683834314346313
5,145.5,331.0,45.63,7.800000000000001,4460.0,41.2962962962963,38.42345276872964,0.0006301410894376486,0.0005863043071447263,0.0006477299090842562,True,True,5,PV+/PNN+,103.51250000000002,11.480252975191728,45.63,7.800000000000001,0.9672399759292603
6,285.5,151.0,45.63,7.800000000000001,16173.0,149.75,76.7875816993464,0.0022850385290302893,0.0011717033905446921,0.0005160142437484137,True,True,6,PV+/PNN+,129.28500000000003,12.830073052835106,45.63,7.800000000000001,0.9601171612739563
7,579.5,869.5,47.32000000000001,7.800000000000001,12601.0,112.50892857142857,57.23372781065089,0.0017167762046452822,0.0008733307058922849,0.0006810281331689073,True,True,7,PV+/PNN+,111.1175,11.894502726558576,47.32000000000001,7.800000000000001,0.9664062261581421
8,620.0,1215.0,47.74250000000001,7.800000000000001,12488.0,110.51327433628319,51.91373801916933,0.0016863244729729639,0.0007921528651738663,0.0006002320423674635,True,True,8,PV+/PNN+,98.02000000000001,11.17152362817806,47.74250000000001,7.800000000000001,0.9717197418212891
9,182.5,218.0,45.63,7.800000000000001,8558.0,79.24074074074075,39.780748663101605,0.0012091361980734073,0.0006070153149172443,0.0005643012356981991,True,True,9,PV+/PNN+,91.26,10.779417463505668,45.63,7.800000000000001,0.9758007526397705
10,750.5,1015.5,47.32000000000001,7.800000000000001,11681.0,104.29464285714286,48.73597359735974,0.001591434239065276,0.0007436632882789309,0.0006294726740574068,True,True,10,PV+/PNN+,127.17250000000001,12.724820470357628,47.32000000000001,7.800000000000001,0.8682627081871033
