label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score
1,394.0,278.0,47.74250000000001,7.800000000000001,10542.0,93.29203539823008,117.35573122529644,0.0014235452109289705,0.0017907336724696183,0.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.800000000000001,0.9382435083389282
2,517.5,67.5,47.32000000000001,7.800000000000001,12807.0,114.34821428571429,61.774193548387096,0.001744841905633849,0.0009426137720056015,0.00010355168294781007,True,True,2,PV+/PNN+,110.69500000000001,11.87186806717708,47.32000000000001,7.800000000000001,0.9623436331748962
3,624.5,1113.5,47.32000000000001,7.800000000000001,14071.0,125.63392857142857,152.5,0.0019170508670394227,0.0023270008392462043,0.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.800000000000001,0.9238914251327515
4,876.0,863.5,45.63,7.800000000000001,7623.0,70.58333333333333,77.57142857142857,0.0010770326288751556,0.001183664127129451,0.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.800000000000001,0.9030762910842896
5,730.0,386.5,45.63,7.800000000000001,7782.0,72.05555555555556,41.94459102902375,0.0010994973000008478,0.0006400334329598496,8.302580133380573e-05,True,True,5,PV+/PNN+,154.2125,14.012474916747268,45.63,7.800000000000001,0.9581610560417175
6,105.5,701.5,47.32000000000001,7.800000000000001,6512.0,58.142857142857146,46.4921875,0.0008872031302793492,0.0007094253070878156,9.754184883331258e-05,True,True,6,PV+/PNN+,100.13250000000001,11.291264708312957,47.32000000000001,7.800000000000001,0.9107347130775452
7,812.5,651.5,47.32000000000001,7.800000000000001,5958.0,53.19642857142857,45.28894472361809,0.0008117254683974757,0.0006910649992159623,0.00013278431680812088,True,True,7,PV+/PNN+,83.65500000000002,10.320506485382394,47.32000000000001,7.800000000000001,0.9565908312797546
8,349.5,1203.0,45.63,7.800000000000001,3550.0,32.870370370370374,26.72289156626506,0.0005015697012340028,0.0004077651875526827,8.608391598324963e-05,True,True,8,PV+/PNN+,89.57000000000001,10.679141633199201,45.63,7.800000000000001,0.9539030194282532
9,518.5,1015.5,47.32000000000001,7.800000000000001,15750.0,140.625,87.72668810289389,0.0021457999542229345,0.0013386234546867153,7.336717908263998e-05,True,True,9,PV+/PNN+,114.49750000000002,12.074052541434225,47.32000000000001,7.800000000000001,0.9550989270210266
10,285.5,1160.0,45.63,7.800000000000001,3019.0,27.953703703703702,16.828125,0.00042654617690857864,0.0002567807278553445,0.0001039382650934394,True,True,10,PV+/PNN+,116.61000000000001,12.18492771055977,45.63,7.800000000000001,0.8138211369514465
11,721.0,961.0,47.74250000000001,7.800000000000001,8598.0,76.08849557522124,49.69172932330827,0.0011610360200689897,0.0007582471858290726,0.00010447507734109083,True,True,11,PV+/PNN+,104.78000000000002,11.550326380555243,47.74250000000001,7.800000000000001,0.9689090251922607
12,1041.5,985.0,45.63,7.800000000000001,4024.0,37.25925925925926,24.5935960591133,0.000568539852891726,0.00037527422078451663,0.00023706372507853183,True,True,12,PV+/PNN+,117.45500000000001,12.2289963090545,45.63,7.800000000000001,0.8382576107978821
13,199.5,273.0,45.63,7.800000000000001,11329.0,104.89814814814815,62.67054263565891,0.0016006431395154978,0.000956291182355366,8.766739938762379e-05,True,True,13,PV+/PNN+,134.35500000000002,13.079223946125122,45.63,7.800000000000001,0.9156654477119446
14,476.5,405.0,45.63,7.800000000000001,4780.0,44.25925925925926,41.779661016949156,0.0006753530061686009,0.0006375167622941811,0.0002462910568497198,True,True,14,PV+/PNN+,111.1175,11.894502726558576,45.63,7.800000000000001,0.9319729208946228
15,978.5,1184.5,47.32000000000001,7.800000000000001,7705.0,68.79464285714286,72.19081272084806,0.001049738961732553,0.001101561192047731,0.0001300038449713591,True,True,15,PV+/PNN+,85.34500000000001,10.424232774905905,47.32000000000001,7.800000000000001,0.9669830799102783
