label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score
1,429.0,36.5,45.63,7.622199185685551,6935.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9536445140838623
2,370.5,238.5,47.32000000000001,7.762067717874401,8788.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9508598446846008
3,468.0,111.0,47.74250000000001,7.796642800880295,5243.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.8860601782798767
4,187.0,377.5,45.63,7.622199185685551,12369.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.978376030921936
5,62.5,423.0,45.63,7.622199185685551,5724.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9168919920921326
6,130.5,254.5,47.32000000000001,7.762067717874401,6077.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.85540372133255
7,161.5,150.0,45.63,7.622199185685551,15330.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9629079103469849
8,53.5,296.0,45.63,7.622199185685551,3685.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.7718265652656555
9,131.0,61.5,45.63,7.622199185685551,4807.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.8749734163284302
10,289.5,239.0,45.63,7.622199185685551,10099.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.975904107093811
11,367.0,410.0,47.74250000000001,7.796642800880295,10437.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9361374378204346
12,230.5,250.0,45.63,7.622199185685551,9272.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9509488344192505
13,449.0,412.0,47.74250000000001,7.796642800880295,4441.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.5289214849472046
14,325.5,148.5,47.32000000000001,7.762067717874401,4339.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.8102319240570068
15,356.5,495.5,47.32000000000001,7.762067717874401,7057.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9153757095336914
16,130.5,115.0,45.63,7.622199185685551,4975.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9222335815429688
17,199.5,97.0,45.63,7.622199185685551,9611.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9420392513275146
18,162.0,472.0,47.74250000000001,7.796642800880295,5516.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9539451003074646
19,280.5,75.0,45.63,7.622199185685551,7047.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9391443133354187
