label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score
1,193.5,282.0,45.63,7.622199185685551,4332.0,True,True,41,PV+/PNN+,72.67,9.619060126431496,45.63,7.622199185685551,0.9206146001815796
2,264.0,63.0,47.74250000000001,7.796642800880295,5955.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9079126119613647
3,457.5,483.0,45.63,7.622199185685551,7086.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.889528214931488
4,222.0,451.0,47.74250000000001,7.796642800880295,5238.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9358996748924255
5,385.5,159.5,47.32000000000001,7.762067717874401,7097.0,True,True,83,PV+/PNN+,89.9925,10.704298656594888,47.32000000000001,7.762067717874401,0.7890579104423523
6,145.5,179.5,47.32000000000001,7.762067717874401,4484.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.6382070183753967
7,216.0,86.0,47.74250000000001,7.796642800880295,5485.0,True,True,46,PV+/PNN+,60.84,8.801357503344999,47.74250000000001,7.796642800880295,0.9010390639305115
8,471.0,26.0,47.74250000000001,7.796642800880295,5288.0,True,True,110,PV+/PNN+,108.16000000000001,11.735143337793332,47.74250000000001,7.796642800880295,0.8463358283042908
9,320.0,219.0,47.74250000000001,7.796642800880295,5283.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.903457760810852
10,360.0,452.5,45.63,7.622199185685551,4539.0,True,True,77,PV+/PNN+,91.6825,10.804341005363613,45.63,7.622199185685551,0.888508141040802
11,368.0,225.0,47.74250000000001,7.796642800880295,5221.0,True,True,80,PV+/PNN+,78.58500000000001,10.002876067562408,47.74250000000001,7.796642800880295,0.9441626071929932
12,381.5,354.0,45.63,7.622199185685551,6437.0,True,True,87,PV+/PNN+,76.47250000000001,9.867512912824576,45.63,7.622199185685551,0.8601990938186646
13,397.0,380.5,45.63,7.622199185685551,4281.0,True,True,88,PV+/PNN+,103.93500000000002,11.50365820433001,45.63,7.622199185685551,0.894038736820221
14,470.5,372.5,47.32000000000001,7.762067717874401,4325.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.8760022521018982
15,191.5,160.5,47.32000000000001,7.762067717874401,3562.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.8577029705047607
