label,centroid_y,centroid_x,area_um2,diameter_um,dapi_mean_intensity,wfa_sum_intensity,is_pnn_plus,is_pv_plus
1,183.60759493670886,2526.1392405063293,33.377500000000005,6.519014718835807,3.4683544303797467,6819,False,False
2,182.17333333333335,2538.0933333333332,31.687500000000004,6.351832654737959,3.2533333333333334,5253,False,False
3,187.95833333333334,2562.7708333333335,20.28,5.081466123790367,1.7708333333333333,4646,False,False
4,191.24675324675326,2518.4155844155844,32.532500000000006,6.4359665543799,4.675324675324675,9862,False,False
5,191.24096385542168,2497.4939759036147,35.0675,6.682015245043993,8.759036144578314,11913,False,False
6,193.31746031746033,2485.777777777778,26.617500000000003,5.8215507884058,7.73015873015873,13903,False,False
7,192.54166666666666,2583.5833333333335,10.14,3.5931391545018894,0.5,3450,False,False
8,197.375,2499.1875,20.28,5.081466123790367,9.5625,13713,False,False
9,196.85294117647058,2527.676470588235,14.365000000000002,4.276691017611702,3.823529411764706,10677,False,False
10,200.33333333333334,2539.818181818182,13.9425,4.2133291293785735,3.727272727272727,9891,False,False
11,205.36082474226805,2448.577319587629,40.9825,7.22360987610134,7.134020618556701,20411,False,False
12,205.53968253968253,2596.1111111111113,26.617500000000003,5.8215507884058,1.0952380952380953,3796,False,False
13,212.64705882352942,1765.1008403361345,50.2775,8.000956268498294,10.008403361344538,17276,False,False
14,214.10344827586206,2423.2758620689656,36.7575,6.8411331346205175,7.655172413793103,22092,False,False
15,215.98076923076923,2089.0,21.970000000000002,5.288957628666685,9.076923076923077,28700,False,False
16,216.0,1908.0,15.632500000000002,4.4613806364255035,10.64864864864865,21682,False,False
17,217.59677419354838,2154.8870967741937,26.195000000000004,5.775163190277621,9.080645161290322,27103,False,False
18,221.625,2509.6022727272725,37.18000000000001,6.880337656921596,5.6477272727272725,16784,False,False
19,218.9344262295082,1718.967213114754,25.7725,5.728399965669906,6.344262295081967,16635,False,False
20,217.72972972972974,1736.837837837838,15.632500000000002,4.4613806364255035,13.513513513513514,18635,False,False
21,219.96296296296296,1972.9444444444443,22.815,5.389708731752834,6.2592592592592595,26321,False,False
22,219.6851851851852,2199.925925925926,22.815,5.389708731752834,7.851851851851852,26833,False,False
23,219.41463414634146,2504.0243902439024,17.3225,4.696348795998318,4.487804878048781,17443,False,False
24,222.82417582417582,2291.054945054945,38.447500000000005,6.996633290104976,8.582417582417582,24844,False,False
25,221.22619047619048,2340.9166666666665,35.49,6.722147829574334,7.595238095238095,23439,False,False
26,221.15151515151516,2538.1363636363635,27.885,5.958547197508803,3.757575757575758,12861,False,False
27,220.56140350877192,2615.9824561403507,24.082500000000003,5.537399329656889,0.9649122807017544,3633,False,False
28,221.01315789473685,1694.5526315789473,32.11000000000001,6.394037987175715,5.5131578947368425,15362,False,False
29,222.28205128205127,2072.4358974358975,32.955000000000005,6.477623730716943,9.474358974358974,29577,False,False
30,223.03333333333333,2349.733333333333,25.35,5.681251839078812,6.466666666666667,22998,False,False
31,222.72727272727272,1963.2424242424242,13.9425,4.2133291293785735,9.272727272727273,26126,False,False
32,224.13793103448276,2118.862068965517,24.505000000000003,5.58576181408903,8.827586206896552,27457,False,False
33,225.3793103448276,1706.1954022988505,36.7575,6.8411331346205175,8.275862068965518,18860,False,False
34,223.5,1724.2380952380952,17.745,4.753276314430444,15.142857142857142,19556,False,False
35,226.89655172413794,1669.903448275862,61.2625,8.831864899857669,12.151724137931035,18341,False,False
36,226.39743589743588,2083.4358974358975,32.955000000000005,6.477623730716943,7.717948717948718,28844,False,False
37,225.0952380952381,2182.6190476190477,17.745,4.753276314430444,7.476190476190476,25466,False,False
38,225.71014492753622,1873.927536231884,29.152500000000003,6.092463855279885,7.0144927536231885,20131,False,False
39,227.75,2015.6346153846155,21.970000000000002,5.288957628666685,9.692307692307692,25438,False,False
40,228.1304347826087,2271.4057971014495,29.152500000000003,6.092463855279885,7.3478260869565215,24148,False,False
41,228.52941176470588,2452.6470588235293,21.547500000000003,5.237855390346407,5.372549019607843,20203,False,False
42,226.64705882352942,2683.9411764705883,7.182500000000001,3.0240772195928307,0.058823529411764705,1153,False,False
43,230.55844155844156,2356.1428571428573,32.532500000000006,6.4359665543799,5.714285714285714,21849,False,False
44,228.94915254237287,2413.2542372881358,24.927500000000002,5.633709146857493,6.254237288135593,20881,False,False
45,231.78571428571428,2087.7321428571427,23.660000000000004,5.488610719338178,8.553571428571429,27323,False,False
46,230.953125,2506.671875,27.040000000000003,5.867571668896666,4.859375,16417,False,False
47,230.77272727272728,2531.969696969697,27.885,5.958547197508803,4.03030303030303,14269,False,False
48,234.0,1639.2359550561798,37.602500000000006,6.919320051920128,10.97752808988764,17276,False,False
49,231.59493670886076,2612.4177215189875,33.377500000000005,6.519014718835807,0.7848101265822784,5389,False,False
50,232.64406779661016,2578.0169491525426,24.927500000000002,5.633709146857493,2.559322033898305,9454,False,False
51,234.0,1702.322033898305,24.927500000000002,5.633709146857493,8.898305084745763,22338,False,False
52,233.88235294117646,1784.764705882353,14.365000000000002,4.276691017611702,6.764705882352941,25118,False,False
53,236.4144144144144,2393.936936936937,46.89750000000001,7.727337934192946,6.207207207207207,20661,False,False
54,235.2674418604651,2459.8953488372094,36.335,6.801702644040839,6.093023255813954,19188,False,False
55,234.94117647058823,1501.6078431372548,21.547500000000003,5.237855390346407,1.0980392156862746,11200,False,False
56,239.10434782608695,1960.5478260869565,48.587500000000006,7.8653370162898755,7.721739130434782,23968,False,False
57,235.421875,2016.328125,27.040000000000003,5.867571668896666,9.109375,26320,False,False
58,236.5,2561.5,32.955000000000005,6.477623730716943,4.153846153846154,11527,False,False
59,237.63636363636363,1939.857142857143,32.532500000000006,6.4359665543799,7.4935064935064934,25104,False,False
60,237.27906976744185,1827.7209302325582,18.1675,4.809530063215748,7.441860465116279,25317,False,False
61,237.52727272727273,1863.9454545454546,23.2375,5.439384516724603,7.3090909090909095,22130,False,False
62,239.09154929577466,1538.4084507042253,59.995000000000005,8.740023254338977,11.133802816901408,17329,False,False
63,238.12121212121212,1872.7272727272727,27.885,5.958547197508803,7.2272727272727275,21376,False,False
64,238.46666666666667,2507.4,19.012500000000003,4.920108417939312,6.888888888888889,16289,False,False
65,239.49425287356323,2522.4942528735633,36.7575,6.8411331346205175,4.781609195402299,15270,False,False
66,238.49019607843138,1559.4901960784314,21.547500000000003,5.237855390346407,9.07843137254902,18890,False,False
67,239.0344827586207,1599.396551724138,24.505000000000003,5.58576181408903,13.689655172413794,17152,False,False
68,240.54320987654322,2192.2098765432097,34.222500000000004,6.601018127508749,6.283950617283951,23731,False,False
69,241.2235294117647,1483.7529411764706,35.9125,6.762042232218129,2.211764705882353,13196,False,False
70,242.6315789473684,1902.3552631578948,32.11000000000001,6.394037987175715,6.328947368421052,23306,False,False
71,241.75757575757575,2107.030303030303,27.885,5.958547197508803,7.636363636363637,25745,False,False
72,242.6865671641791,1805.1791044776119,28.307500000000005,6.003518003020447,5.552238805970149,23545,False,False
73,243.45569620253164,1519.2151898734178,33.377500000000005,6.519014718835807,7.151898734177215,18041,False,False
74,246.30851063829786,1611.9468085106382,39.715,7.1110272478142695,8.97872340425532,20780,False,False
75,242.77083333333334,2038.6041666666667,20.28,5.081466123790367,8.958333333333334,28600,False,False
76,244.24242424242425,1492.3939393939395,27.885,5.958547197508803,5.484848484848484,15387,False,False
77,243.50980392156862,1507.9803921568628,21.547500000000003,5.237855390346407,5.411764705882353,16935,False,False
78,247.19736842105263,1972.6315789473683,32.11000000000001,6.394037987175715,7.2105263157894735,23280,False,False
79,244.08064516129033,1994.7096774193549,26.195000000000004,5.775163190277621,8.225806451612904,24843,False,False
80,245.17333333333335,2067.8133333333335,31.687500000000004,6.351832654737959,6.946666666666666,27621,False,False
81,246.49019607843138,2223.372549019608,43.095000000000006,7.407446130776911,6.2745098039215685,23726,False,False
82,246.53012048192772,1740.566265060241,35.0675,6.682015245043993,8.506024096385541,26969,False,False
83,246.08860759493672,2332.6075949367087,33.377500000000005,6.519014718835807,6.949367088607595,20905,False,False
84,246.8131868131868,2404.1098901098903,38.447500000000005,6.996633290104976,7.263736263736264,19736,False,False
85,249.09174311926606,2505.238532110092,46.0525,7.6574058357851245,6.908256880733945,16429,False,False
86,246.93333333333334,2571.7,25.35,5.681251839078812,3.2333333333333334,11018,False,False
87,245.5185185185185,1724.148148148148,22.815,5.389708731752834,8.407407407407407,26537,False,False
88,249.09411764705882,1788.764705882353,35.9125,6.762042232218129,7.2823529411764705,23159,False,False
89,247.90123456790124,2395.1604938271603,34.222500000000004,6.601018127508749,6.395061728395062,19907,False,False
90,247.05882352941177,1675.137254901961,21.547500000000003,5.237855390346407,10.470588235294118,26720,False,False
91,249.45794392523365,1764.8878504672898,45.2075,7.586829161027343,7.158878504672897,24370,False,False
92,248.17777777777778,1590.4,19.012500000000003,4.920108417939312,9.911111111111111,22592,False,False
