label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,wfa_mean_intensity,wfa_pericellular_intensity,wfa_intensity_norm,wfa_pericellular_norm,pv_intensity_norm,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score,is_in_roi,roi_region
1,547,985,296.31705237,19.42376350908454,11180.0,29.97319034852547,26.701612903225808,0.8316266979730415,0.740854540709793,1.6060563647321857,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.3102542161941528,False,NONE
2,551,881,296.31705237,19.42376350908454,13700.0,36.729222520107236,30.548387096774192,1.0190774384821706,0.8475859257652356,1.4343970597163276,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,0.11696559190750122,False,NONE
3,521,1122,296.31705237,19.42376350908454,12665.0,33.9544235924933,29.75,0.9420887414873498,0.8254341288669362,1.9936293389471813,True,True,409,PV+/PNN+,91.35780435,10.78519212710641,296.31705237,19.42376350908454,-0.10440395772457123,False,NONE
4,446,1264,296.31705237,19.42376350908454,19040.0,51.0455764075067,47.193548387096776,1.416294483846754,1.3094173277661456,2.06189616082632,True,True,266,PV+/PNN+,88.18014159,10.595963539609496,296.31705237,19.42376350908454,1.669871211051941,False,NONE
5,506,1436,296.31705237,19.42376350908454,34035.0,91.24664879356568,87.51612903225806,2.5317007750905605,2.4281949488923806,1.8838864537751931,True,True,367,PV+/PNN+,120.75118488,12.39940255265723,296.31705237,19.42376350908454,1.9312409162521362,False,NONE
6,553,1306,296.31705237,19.42376350908454,39294.0,105.34584450402144,111.9274193548387,2.9228926180816357,3.1055029207222034,1.6568595810143356,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,3.5630874633789062,False,NONE
7,534,1595,296.31705237,19.42376350908454,40548.0,108.70777479892762,82.37096774193549,3.016171677049274,2.285438924436673,1.6181618186119167,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.780341386795044,False,NONE
8,488,1655,296.31705237,19.42376350908454,22973.0,61.58981233243968,48.483870967741936,1.7088515324270734,1.3452182116421851,1.3192960228270814,True,False,-1,PV-/PNN+,0.0,0.0,296.31705237,19.42376350908454,1.5259579420089722,False,NONE
9,459,1710,296.31705237,19.42376350908454,20763.0,55.66487935656836,50.975806451612904,1.5444602084091466,1.4143586686277865,1.7866459226101405,True,True,285,PV+/PNN+,147.76131834,13.716251444643651,296.31705237,19.42376350908454,1.2772084474563599,False,NONE
10,548,1675,296.31705237,19.42376350908454,33233.0,89.09651474530831,78.14516129032258,2.472043833071385,2.1681910297426437,1.922187316050408,True,True,448,PV+/PNN+,164.44404783,14.469853647963289,296.31705237,19.42376350908454,1.446084976196289,False,NONE
