label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus
1,6.333333333333333,644.6962962962963,57.03750000000001,8.521877758618217,149.0,False,True
2,43.41206030150754,712.1557788944724,84.07750000000001,10.346535546861599,668.0,False,True
3,68.14117647058823,722.9823529411765,71.825,9.562971834142516,599.0,False,True
4,87.23611111111111,559.2951388888889,121.68,12.446999148524698,3016.0,False,True
5,106.64206642066421,592.6420664206642,114.49750000000002,12.074052541434225,2156.0,False,True
6,116.40277777777777,914.2986111111111,121.68,12.446999148524698,833.0,False,True
7,137.70517928286853,666.605577689243,106.04750000000001,11.619977221161072,3120.0,False,True
8,142.94252873563218,725.0574712643678,110.27250000000001,11.849190170505672,2288.0,False,True
9,139.75238095238095,655.3428571428572,44.362500000000004,7.51558975086544,2875.0,False,True
10,154.1578947368421,887.0964912280701,48.165000000000006,7.831065232276457,909.0,False,True
11,178.5483870967742,1143.731182795699,39.292500000000004,7.073101498742004,474.0,False,True
12,192.07766990291262,1015.9466019417475,87.03500000000001,10.526937055764364,992.0,False,True
13,202.24242424242425,642.9090909090909,69.7125,9.421290344870497,2202.0,False,True
14,217.9402985074627,325.7213930348259,84.92250000000001,10.39839820538586,8010.0,True,True
15,222.36150234741785,541.3239436619718,89.9925,10.704298656594888,4326.0,False,True
16,245.0654761904762,688.0892857142857,70.98,9.506552628860888,5818.0,True,True
17,254.42207792207793,1149.2012987012988,65.06500000000001,9.101831188183693,748.0,False,True
18,267.7412587412587,1126.6923076923076,60.417500000000004,8.770743993187619,713.0,False,True
19,270.48936170212767,626.063829787234,79.43,10.056511176263564,4078.0,False,True
20,283.23809523809524,733.9619047619047,44.362500000000004,7.51558975086544,6157.0,True,True
21,286.4508670520231,643.6242774566474,73.0925,9.646981985240508,6840.0,True,True
22,311.2012578616352,556.5911949685535,67.17750000000001,9.24840794496255,8632.0,True,True
23,315.963503649635,683.043795620438,57.88250000000001,8.584770698634475,2966.0,False,True
24,327.11340206185565,335.7216494845361,81.965,10.215727056074748,6208.0,True,True
25,325.45652173913044,869.7391304347826,19.435000000000002,4.974475907261778,1258.0,False,True
26,326.8363636363636,1089.9545454545455,46.475,7.692451354514157,1360.0,False,True
27,334.7988505747126,814.6609195402299,147.03,13.682266269241035,6313.0,True,True
28,338.26612903225805,784.3790322580645,52.39000000000001,8.167314108608483,2262.0,False,True
29,354.56756756756755,887.0608108108108,62.53000000000001,8.922761272851007,1853.0,False,True
30,357.2517006802721,419.78231292517006,62.10750000000001,8.892565716633143,11145.0,True,True
31,359.7708333333333,401.1041666666667,81.12,10.162932247580734,13996.0,True,True
32,377.6711711711712,1211.6126126126126,93.79500000000002,10.928106107575758,3797.0,False,True
33,377.5217391304348,1006.1242236024844,68.02250000000001,9.306392261867519,1506.0,False,True
34,385.639751552795,418.0993788819876,68.02250000000001,9.306392261867519,5632.0,True,True
35,397.1589743589744,1020.0820512820513,82.3875,10.24202240731137,1496.0,False,True
36,400.6,905.2484848484848,69.7125,9.421290344870497,1609.0,False,True
37,405.90445859872614,385.81528662420385,66.33250000000001,9.190057785517194,4143.0,False,True
38,412.0877192982456,338.7456140350877,96.33000000000001,11.074798659313778,12725.0,True,True
39,416.3225806451613,614.341935483871,65.48750000000001,9.131334770220834,3699.0,False,True
40,425.96590909090907,363.71022727272725,74.36000000000001,9.730266828124844,8411.0,True,True
