label,area,equivalent_diameter,mean_intensity,centroid-0,centroid-1,area_um2,equivalent_diameter_um
1,95.0,10.998079684646791,30142.336842105262,2.5894736842105264,20.242105263157896,75.47330846591866,9.802836370704288
2,64.0,9.0270333367641,25970.03125,2.921875,55.84375,50.84517622967152,8.045998324300477
3,135.0,13.110581167104948,24186.474074074074,5.548148148148148,87.05185185185185,107.25154360946337,11.6857565676107
4,22.0,5.292567428401227,26030.636363636364,1.0,122.72727272727273,17.478029328949585,4.717384667976483
5,57.0,8.51907589177983,24378.754385964912,2.2982456140350878,156.26315789473685,45.2839850795512,7.593244401866813
6,69.0,9.373021315815206,20095.420289855072,3.2753623188405796,187.68115942028984,54.81745562261461,8.354385210204148
7,35.0,6.6755811781245455,22914.17142857143,1.9714285714285715,434.6,27.805955750601616,5.95009600265593
8,75.0,9.772050238058398,27829.986666666668,2.24,599.4533333333334,59.58419089414632,8.710048684564047
9,164.0,14.450303987687134,35924.96951219512,8.408536585365853,613.1585365853658,130.29076408853328,12.879881721168118
10,63.0,8.95623198216277,22204.380952380954,4.158730158730159,737.4603174603175,50.05072035108291,7.982891480753057
11,181.0,15.180789096653193,30997.67955801105,8.121546961325967,760.4861878453039,143.7965140245398,13.53097956731546
12,117.0,12.205286835384658,31719.042735042734,3.717948717948718,793.5299145299145,92.95133779486825,10.878847320211015
13,68.0,9.304852983362556,22951.617647058825,4.514705882352941,821.5735294117648,54.022999744025995,8.293625238658391
14,83.0,10.280023453913834,19197.024096385543,5.698795180722891,41.42168674698795,65.93983792285526,9.16281666393073
15,55.0,8.368283871884005,29333.418181818182,4.909090909090909,227.4181818181818,43.695073322373965,7.45884007498143
16,91.0,10.764051215546116,31438.373626373625,5.9010989010989015,555.0439560439561,72.29548495156419,9.594241520106602
17,125.0,12.6156626101008,28472.152,9.088,771.656,99.3069848235772,11.244624499990792
18,48.0,7.817640190446719,22453.604166666668,5.166666666666667,905.6458333333334,38.13388217225364,6.968038947651237
19,96.0,11.055812783082736,23346.083333333332,9.21875,108.70833333333333,76.26776434450728,9.85429518291233
20,84.0,10.341765891652821,27868.214285714286,10.952380952380953,421.54761904761904,66.73429380144387,9.217849090648697
21,60.0,8.740387444736633,22424.983333333334,7.3,654.9666666666667,47.66735271531705,7.7905043784071335
22,59.0,8.667244841319219,24463.406779661018,9.457627118644067,295.728813559322,46.87289683672844,7.7253107270073205
23,86.0,10.464157913908982,25203.93023255814,8.709302325581396,835.6046511627907,68.32320555862111,9.326939859370043
24,159.0,14.228319915326999,34035.6037735849,12.40880503144654,57.465408805031444,126.31848469559019,12.682022312921898
25,115.0,12.100518486599809,31157.84347826087,10.817391304347826,492.2086956521739,91.36242603769102,10.785464928974072
26,60.0,8.740387444736633,19490.8,9.866666666666667,886.4,47.66735271531705,7.7905043784071335
27,52.0,8.136857890256438,26484.346153846152,10.903846153846153,376.84615384615387,41.311705686608114,7.252564880140676
28,66.0,9.166995688475081,23128.39393939394,10.818181818181818,471.1969696969697,52.43408798684876,8.170749923781708
29,51.0,8.058239062071396,27117.725490196077,10.431372549019608,548.9607843137255,40.51724980801949,7.182490146145945
30,74.0,9.706684619910241,21606.41891891892,12.0,749.5,58.789735015557696,8.651786835464078
31,64.0,9.0270333367641,23032.21875,10.203125,814.890625,50.84517622967152,8.045998324300477
32,118.0,12.257335203001883,21393.85593220339,14.11864406779661,161.98305084745763,93.74579367345687,10.925239203680107
33,142.0,13.446189622059965,41875.880281690144,13.147887323943662,793.9577464788732,112.81273475958369,11.984891949684862
34,94.0,10.940041919714261,21772.23404255319,13.76595744680851,199.09574468085106,74.67885258733006,9.75110600237924
35,60.0,8.740387444736633,29667.716666666667,13.266666666666667,207.68333333333334,47.66735271531705,7.7905043784071335
36,64.0,9.0270333367641,22728.171875,12.828125,527.140625,50.84517622967152,8.045998324300477
37,90.0,10.704744696916627,17895.733333333334,14.666666666666666,76.33333333333333,71.50102907297558,9.541380283007856
38,102.0,11.396070970426017,26879.93137254902,14.352941176470589,927.6666666666666,81.03449961603899,10.157574976290709
39,94.0,10.940041919714261,18858.287234042553,16.54255319148936,19.851063829787233,74.67885258733006,9.75110600237924
40,150.0,13.81976597885342,20413.58,19.313333333333333,130.54666666666665,119.16838178829263,12.317868978640412
41,63.0,8.95623198216277,20385.015873015873,15.634920634920634,250.9206349206349,50.05072035108291,7.982891480753057
42,71.0,9.507891862878783,22751.408450704224,16.014084507042252,603.9718309859155,56.406367379791845,8.474598369410229
43,120.0,12.360774464742066,42881.59166666667,17.558333333333334,840.8916666666667,95.3347054306341,11.017436949670346
44,129.0,12.815923738491737,25299.356589147286,17.03875968992248,185.68217054263565,102.48480833793167,11.42312175854125
45,73.0,9.640875829802336,19724.972602739726,17.945205479452056,215.986301369863,57.99527913696908,8.593129977205233
46,61.0,8.812923024107548,21042.262295081968,17.442622950819672,149.88524590163934,48.46180859390567,7.855156975589161
47,76.0,9.83698151873187,22211.065789473683,17.513157894736842,402.5657894736842,60.37864677273493,8.767923398880844
48,71.0,9.507891862878783,21948.11267605634,16.91549295774648,687.7605633802817,56.406367379791845,8.474598369410229
49,151.0,13.86575534383214,24534.066225165563,20.410596026490065,8.814569536423841,119.96283766688126,12.358860336459754
50,54.0,8.291859587312052,30463.925925925927,18.796296296296298,784.6666666666666,42.90061744378535,7.390721387184247
51,202.0,16.03728119216293,26056.435643564357,23.07920792079208,169.93069306930693,160.48008747490076,14.294390281351692
52,58.0,8.593479713983122,22561.637931034482,20.189655172413794,695.8103448275862,46.078440958139815,7.659562206004206
53,111.0,11.888212206450685,25458.38738738739,23.63963963963964,201.42342342342343,88.18460252333655,10.596231555107897
54,78.0,9.965574970333758,21583.833333333332,22.53846153846154,333.4102564102564,61.96755852991217,8.882541641387048
55,49.0,7.898654169668588,18451.469387755104,20.857142857142858,820.8367346938776,38.92833805084226,7.0402485337629175
56,57.0,8.51907589177983,26479.43859649123,21.263157894736842,913.4912280701755,45.2839850795512,7.593244401866813
57,68.0,9.304852983362556,18923.852941176472,23.41176470588235,303.1764705882353,54.022999744025995,8.293625238658391
58,95.0,10.998079684646791,32146.78947368421,24.063157894736843,790.9052631578948,75.47330846591866,9.802836370704288
59,66.0,9.166995688475081,22596.78787878788,22.560606060606062,965.8030303030303,52.43408798684876,8.170749923781708
60,98.0,11.170383851240114,20956.14285714286,25.336734693877553,41.91836734693877,77.85667610168451,9.956414958924814
61,222.0,16.812470934731934,21883.184684684686,30.144144144144143,89.95945945945945,176.3692050466731,14.985334375279338
62,78.0,9.965574970333758,28248.115384615383,24.423076923076923,831.8846153846154,61.96755852991217,8.882541641387048
63,70.0,9.440697438826296,21147.057142857142,24.928571428571427,265.4714285714286,55.61191150120323,8.414706464377955
64,58.0,8.593479713983122,24195.46551724138,24.155172413793103,604.3448275862069,46.078440958139815,7.659562206004206
65,64.0,9.0270333367641,33881.234375,24.46875,988.875,50.84517622967152,8.045998324300477
66,94.0,10.940041919714261,22602.22340425532,27.56382978723404,183.68085106382978,74.67885258733006,9.75110600237924
67,76.0,9.83698151873187,20115.157894736843,26.486842105263158,635.7236842105264,60.37864677273493,8.767923398880844
68,177.0,15.012108426804138,31433.31638418079,28.372881355932204,950.1638418079096,140.6186905101853,13.38063068343354
69,67.0,9.23618154310838,26037.432835820895,29.029850746268657,597.3731343283582,53.22854386543737,8.232416835786749
70,108.0,11.726460285670077,29861.824074074073,29.064814814814813,857.5648148148148,85.8012348875707,10.452058421476856
71,67.0,9.23618154310838,28484.83582089552,29.28358208955224,122.65671641791045,53.22854386543737,8.232416835786749
72,64.0,9.0270333367641,20604.5625,27.640625,484.25,50.84517622967152,8.045998324300477
73,75.0,9.772050238058398,21576.746666666666,28.14666666666667,536.0133333333333,59.58419089414632,8.710048684564047
