label,centroid_y,centroid_x,area_um2,diameter_um,dapi_mean_intensity,wfa_sum_intensity,is_pnn_plus,is_er_plus
1,102.84347826086956,112.8695652173913,91.36242603769102,10.785464928974072,1061.513043478261,463770,False,False
2,108.66990291262135,74.04368932038835,163.6579109892552,14.43522511359858,2111.752427184466,660993,False,False
3,110.6082474226804,108.90721649484536,77.0622202230959,9.905486671190642,1943.7628865979382,614685,False,False
4,116.44366197183099,100.3943661971831,112.81273475958369,11.984891949684862,1210.218309859155,524528,False,False
5,113.75757575757575,136.0060606060606,131.0852199671219,12.919089975398691,1527.8181818181818,493947,False,False
6,113.61386138613861,13.475247524752476,80.24004373745038,10.107660300870862,1460.2178217821781,595894,False,False
7,120.14367816091954,128.1264367816092,138.23532287441947,13.266750904533637,1271.4310344827586,539217,False,False
8,114.36,152.01333333333332,59.58419089414632,8.710048684564047,1357.2933333333333,447806,False,False
9,125.44444444444444,146.01709401709402,92.95133779486825,10.878847320211015,1174.7777777777778,498332,False,True
10,125.11494252873563,201.2183908045977,69.11766143720973,9.381009528908498,1114.2413793103449,574432,False,False
11,126.16949152542372,14.415254237288135,93.74579367345687,10.925239203680107,2619.4745762711864,903421,False,False
12,125.12698412698413,27.476190476190474,50.05072035108291,7.982891480753057,2181.2698412698414,801004,False,False
13,130.63333333333333,172.475,95.3347054306341,11.017436949670346,1522.7416666666666,666233,False,False
14,131.625,127.85,63.556470287089404,8.995699599992633,1080.2375,484451,False,False
15,131.19387755102042,162.08163265306123,77.85667610168451,9.956414958924814,1399.2142857142858,535615,False,False
16,135.184,115.528,99.3069848235772,11.244624499990792,1189.696,486852,False,False
17,133.89673913043478,194.7554347826087,146.17988166030563,13.642653919769698,1921.0923913043478,866869,False,False
18,131.24,342.5,39.72279392943088,7.111724970660583,1171.34,817424,False,False
19,135.5,151.5462962962963,85.8012348875707,10.452058421476856,1090.1851851851852,492729,False,True
20,138.29591836734693,335.1224489795918,77.85667610168451,9.956414958924814,1901.6224489795918,678207,False,False
21,143.24,73.76,119.16838178829263,12.317868978640412,9053.28,2160618,False,False
22,140.12790697674419,128.62790697674419,68.32320555862111,9.326939859370043,1505.1976744186047,499198,False,False
23,141.9156626506024,101.37349397590361,65.93983792285526,9.16281666393073,1071.987951807229,430708,False,False
