total_dapi,total_pv_segmentation,pnn_plus,pnn_minus,dapi_pv_coloc,pv_pnn_plus,pv_pnn_minus,hollow_pnn_plus,total_pnn_plus,pixel_size,image_area_mm2,total_integrated_wfa_signal,mean_wfa_intensity_raw,integrated_wfa_density_mm2,diffuse_wfa_fluorescence,diffuse_pv_fluorescence,pv_density_mm2,pnn_density_mm2,coloc_density_mm2,pv_energy,pnn_energy,coloc_energy,pct_pv_surrounded_by_pnn,pct_pnn_surrounding_pv,mean_pv_cell_intensity_norm,mean_pnn_pericellular_wfa_norm,mean_coloc_pericellular_wfa_norm,group,section,filename,animal_id,corte_num
4555,328,162,166,124,124,166,38,162,0.65,0.5813262,20535476.0,14.92490551776266,539.0283079329362,0.00022773946010166567,0.00019399628553406795,564.2271069151881,278.6731442690868,213.30536968744914,0.2140710995318896,0.14451464375355155,0.09517759446927464,37.80487804878049,76.5432098765432,0.0004291211683472247,0.0005185811648000362,0.0004462034622416487,ACF 14 DÍAS HEMBRA,CONTRA,ACF_49~1.TIF,ACF_49,1
5056,295,152,143,125,125,143,27,152,0.65,0.5813262,23304142.0,16.93713442642014,611.7020238580727,0.0002584441050800357,0.00017581807407854557,507.4603553048185,261.47109832655053,215.02557428170277,0.18872845606325953,0.1607331241243427,0.11916521801596237,42.3728813559322,82.23684210526315,0.0004093761052056777,0.0006147261596140295,0.0005541909068911276,ACF 14 DÍAS HEMBRA,CONTRA,ACF_49~2.TIF,ACF_49,2
5039,313,174,139,133,133,139,41,174,0.65,0.5813262,23840590.0,17.327017559160417,625.7830540583954,0.0002643933403396722,0.00016527220153417715,538.4240380013837,299.3155994001302,228.78721103573173,0.16964674229493326,0.1841751815286796,0.12402537474641218,42.49201277955272,76.4367816091954,0.00036257388250254715,0.0006153210253584914,0.0005420992466534418,ACF 14 DÍAS HEMBRA,CONTRA,ACF_49~3.TIF,ACF_49,3
2172,271,134,137,109,109,137,25,134,0.65,0.5813262,13790870.0,10.023017326588755,361.99157599381186,0.00015294144085738545,9.353515814076693e-05,466.1754450427316,230.50741562998536,187.5023007736448,0.0807977926107603,0.09162165749294639,0.0637581624927917,40.22140221402214,81.34328358208955,0.0001909344461252088,0.0003974781342393735,0.00034003936074235904,ACF 14 DÍAS HEMBRA,CONTRA,ACF_50~1.TIF,ACF_50,1
2420,277,155,122,127,127,122,28,155,0.65,0.5813262,16291858.0,11.840701494272922,427.6391085759919,0.00018067752337335655,0.00010211686080087915,476.49667260825333,266.6317121093114,218.46598347021,0.090775597673244,0.11242670366501133,0.07319856143786702,45.84837545126354,81.93548387096774,0.00021192864758279428,0.00042165540916198137,0.00033505702020584073,ACF 14 DÍAS HEMBRA,CONTRA,ACF_50~2.TIF,ACF_50,2
2109,306,156,150,104,104,150,52,156,0.65,0.5813262,15180506.0,11.032985929414501,398.46763049202224,0.0001683525738828794,8.184552435715936e-05,526.3826058416083,268.35191670356505,178.9012778023767,0.06523676194653938,0.11339724613240952,0.058383858975783534,33.98692810457516,66.66666666666666,0.00014930645245152103,0.00042256916785011746,0.0003263467969204628,ACF 14 DÍAS HEMBRA,CONTRA,ACF_50~3.TIF,ACF_50,3
5038,335,172,163,152,152,163,20,172,0.65,0.5813262,29469064.0,21.417716146287574,773.5228394164036,0.0003268133996534306,0.00016168655540746787,576.2685390749634,295.875190211623,261.47109832655053,0.1610192797211402,0.21694355270351354,0.18057209879009053,45.37313432835821,88.37209302325581,0.0002971578603397698,0.0007332265762071701,0.0006906006053662364,ACF 14 DÍAS HEMBRA,CONTRA,ACF_55~1.TIF,ACF_55,1
5197,333,161,172,148,148,172,13,161,0.65,0.5813262,27991838.0,20.344088319088318,734.7476665782118,0.00031043088912929454,0.00012778528108395464,572.8281298864562,276.95293967483315,254.59027994953607,0.1296133826009765,0.21015089303619813,0.1893988532885003,44.44444444444444,91.92546583850931,0.00023546142242678682,0.0007587963979834752,0.0007439359166659554,ACF 14 DÍAS HEMBRA,CONTRA,ACF_55~2.TIF,ACF_55,2
5078,349,162,187,136,136,187,26,162,0.65,0.5813262,28224321.0,20.513053811268097,740.850029051484,0.00031300913727425186,0.0001401916759032368,600.3514033945141,278.6731442690868,233.94782481849262,0.13128409311624403,0.20748180905793448,0.159093586490512,38.96848137535817,83.9506172839506,0.00023628137142944983,0.000744534639683794,0.0006800387505801521,ACF 14 DÍAS HEMBRA,CONTRA,ACF_55~3.TIF,ACF_55,3
4204,384,190,194,152,152,194,38,190,0.65,0.5813262,32557241.0,23.66216131751846,854.583284419354,0.0003610614376671772,0.00018275240522894448,660.5585641933909,326.8388729081882,261.47109832655053,0.20830917921293327,0.24872779131493614,0.1760900694941059,39.58333333333333,80.0,0.0003499872357715997,0.0007610104303131833,0.0006734590194522666,ACF 14 DÍAS HEMBRA,CONTRA,ACF_71~1.TIF,ACF_71,1
