label,centroid_y,centroid_x,area_um2,diameter_um,dapi_mean_intensity,wfa_sum_intensity,is_pnn_plus,is_pv_plus
1,2.925373134328358,2147.044776119403,28.307500000000005,6.003518003020447,0.8507462686567164,13439,False,False
2,8.336,2172.144,52.81250000000001,8.200180696565521,8.032,16091,False,False
3,9.23,2141.44,42.25000000000001,7.3344645861208315,8.32,17296,False,False
4,9.745283018867925,2211.7735849056603,44.785000000000004,7.5512934660867375,6.8584905660377355,16120,False,False
5,11.613861386138614,2197.5643564356437,42.67250000000001,7.371045683803026,10.336633663366337,17538,False,False
6,13.26,2028.5066666666667,63.37500000000001,8.982847886254723,7.12,15398,False,False
7,10.887323943661972,2185.5774647887324,29.997500000000002,6.180129710871209,11.507042253521126,17148,False,False
8,12.7125,2044.225,33.800000000000004,6.560144557252417,5.6375,16324,False,False
9,13.075,2080.2625,33.800000000000004,6.560144557252417,9.85,18068,False,False
10,13.0,2224.84375,40.56,7.186278309003779,11.3125,17691,False,False
11,14.478260869565217,2131.840579710145,29.152500000000003,6.092463855279885,11.130434782608695,20317,False,False
12,14.487804878048781,2238.390243902439,34.645,6.641640160935379,13.609756097560975,17724,False,False
13,15.910112359550562,2066.1348314606744,37.602500000000006,6.919320051920128,13.067415730337078,19296,False,False
14,14.88135593220339,2274.423728813559,24.927500000000002,5.633709146857493,5.220338983050848,14661,False,False
15,16.402985074626866,2252.820895522388,28.307500000000005,6.003518003020447,12.626865671641792,17845,False,False
16,17.37313432835821,2051.7611940298507,28.307500000000005,6.003518003020447,12.507462686567164,19646,False,False
17,17.47142857142857,2327.3571428571427,29.575000000000003,6.136453335237093,3.8,7363,False,False
18,18.136363636363637,1864.7575757575758,27.885,5.958547197508803,5.742424242424242,14431,False,False
19,20.58267716535433,1997.2204724409448,53.657500000000006,8.265521814841879,5.440944881889764,15367,False,False
20,20.06,2269.57,42.25000000000001,7.3344645861208315,10.35,18168,False,False
21,20.349206349206348,2110.4285714285716,26.617500000000003,5.8215507884058,11.238095238095237,22787,False,False
22,20.883116883116884,1874.142857142857,32.532500000000006,6.4359665543799,11.116883116883116,15974,False,False
23,21.428571428571427,1890.654761904762,35.49,6.722147829574334,12.071428571428571,16160,False,False
24,21.852941176470587,1935.7426470588234,57.46000000000001,8.553382035223404,7.580882352941177,13638,False,False
25,21.84426229508197,1851.7540983606557,51.545,8.101180922147954,8.147540983606557,15856,False,False
26,21.0,1924.4150943396226,22.392500000000002,5.3395708165996005,7.811320754716981,15176,False,False
27,20.75,1819.625,20.28,5.081466123790367,2.5833333333333335,14567,False,False
28,24.5,2217.3928571428573,35.49,6.722147829574334,9.297619047619047,23214,False,False
29,22.941176470588236,2226.098039215686,21.547500000000003,5.237855390346407,9.509803921568627,22578,False,False
30,24.557377049180328,2289.688524590164,25.7725,5.728399965669906,10.967213114754099,17344,False,False
31,24.932515337423315,2300.9754601226996,68.8675,9.364017532397558,8.484662576687116,15147,False,False
32,23.46938775510204,2009.5102040816328,20.7025,5.134125210284583,9.26530612244898,18549,False,False
