label,area,equivalent_diameter,mean_intensity,centroid-0,centroid-1,area_um2,equivalent_diameter_um
1,134.0,13.061933202803933,35144.477611940296,4.664179104477612,2889.8880597014927,106.45708773087475,11.642395540278223
2,45.0,7.569397566060481,24158.62222222222,1.6888888888888889,2944.9333333333334,35.75051453648779,6.746774699994475
3,38.0,6.955796338302048,22856.78947368421,1.7105263157894737,2987.7105263157896,30.189323386367466,6.199858092272848
4,47.0,7.735777827895049,26738.255319148935,2.25531914893617,3073.531914893617,37.33942629366503,6.895073178351208
5,20.0,5.046265044040321,19982.4,1.4,3106.05,15.889117571772351,4.497849799996317
6,61.0,8.812923024107548,31029.27868852459,3.8360655737704916,3150.3278688524592,48.46180859390567,7.855156975589161
7,98.0,11.170383851240114,36064.52040816326,4.285714285714286,3173.4489795918366,77.85667610168451,9.956414958924814
8,58.0,8.593479713983122,23035.689655172413,3.9310344827586206,3261.396551724138,46.078440958139815,7.659562206004206
9,75.0,9.772050238058398,21373.88,4.2,3278.56,59.58419089414632,8.710048684564047
10,50.0,7.978845608028654,25133.04,2.46,3287.96,39.72279392943088,7.111724970660583
11,22.0,5.292567428401227,27542.272727272728,1.3636363636363635,3407.5,17.478029328949585,4.717384667976483
12,94.0,10.940041919714261,33739.79787234042,4.297872340425532,3423.8936170212764,74.67885258733006,9.75110600237924
13,33.0,6.4820448144285745,20791.848484848484,2.212121212121212,3555.151515151515,26.21704399342438,5.777592678485512
14,90.0,10.704744696916627,20782.966666666667,5.811111111111111,3620.6444444444446,71.50102907297558,9.541380283007856
15,35.0,6.6755811781245455,23083.657142857144,2.3714285714285714,3631.2285714285713,27.805955750601616,5.95009600265593
16,117.0,12.205286835384658,24507.521367521367,3.948717948717949,3648.641025641026,92.95133779486825,10.878847320211015
17,66.0,9.166995688475081,24581.0,3.893939393939394,3679.3333333333335,52.43408798684876,8.170749923781708
18,24.0,5.527906391541368,26808.125,1.25,3748.625,19.06694108612682,4.927147591456165
19,123.0,12.514330345744634,30718.439024390245,7.853658536585366,2905.479674796748,97.71807306639995,11.15430476827043
20,48.0,7.817640190446719,21930.208333333332,4.3125,3382.5416666666665,38.13388217225364,6.968038947651237
21,132.0,12.964089628857149,29727.196969696968,6.8106060606060606,2860.7651515151515,104.86817597369752,11.555185356971023
22,92.0,10.823032759612019,20460.391304347828,8.043478260869565,3086.521739130435,73.08994083015281,9.646813100050386
23,79.0,10.02925341359355,22116.46835443038,7.025316455696203,3390.8987341772154,62.76201440850079,8.939299673472261
24,116.0,12.153015559492998,27606.896551724138,8.939655172413794,3582.689655172414,92.15688191627963,10.832256753571532
25,103.0,11.451797811161432,24457.728155339806,9.601941747572816,2920.5825242718447,81.8289554946276,10.207245565779907
26,59.0,8.667244841319219,23581.593220338982,7.966101694915254,3144.2203389830506,46.87289683672844,7.7253107270073205
27,64.0,9.0270333367641,21274.0,7.828125,3536.9375,50.84517622967152,8.045998324300477
28,136.0,13.159049284959082,36282.169117647056,9.897058823529411,2877.051470588235,108.04599948805199,11.728957293750495
29,121.0,12.412170838050638,27520.77685950413,12.0,2895.123966942149,96.12916130922272,11.063247695913157
30,54.0,8.291859587312052,22116.462962962964,8.25925925925926,3512.5555555555557,42.90061744378535,7.390721387184247
31,69.0,9.373021315815206,23053.231884057972,10.521739130434783,3337.4927536231885,54.81745562261461,8.354385210204148
32,73.0,9.640875829802336,21206.342465753423,9.863013698630137,3739.6849315068494,57.99527913696908,8.593129977205233
33,76.0,9.83698151873187,25165.394736842107,11.118421052631579,2987.157894736842,60.37864677273493,8.767923398880844
34,51.0,8.058239062071396,30231.13725490196,9.666666666666666,3131.901960784314,40.51724980801949,7.182490146145945
35,68.0,9.304852983362556,22776.66176470588,11.676470588235293,3244.1617647058824,54.022999744025995,8.293625238658391
36,21.0,5.170882945826411,21783.714285714286,10.619047619047619,3414.5714285714284,16.683573450360967,4.608924545324348
37,64.0,9.0270333367641,25866.453125,12.4375,3607.828125,50.84517622967152,8.045998324300477
38,92.0,10.823032759612019,34476.5,14.119565217391305,3684.3804347826085,73.08994083015281,9.646813100050386
39,76.0,9.83698151873187,24282.644736842107,14.855263157894736,3457.5394736842104,60.37864677273493,8.767923398880844
40,58.0,8.593479713983122,25757.793103448275,14.03448275862069,3106.448275862069,46.078440958139815,7.659562206004206
41,74.0,9.706684619910241,22687.527027027027,13.95945945945946,3398.527027027027,58.789735015557696,8.651786835464078
42,104.0,11.507254783503184,25048.91346153846,15.307692307692308,3426.826923076923,82.62341137321623,10.256675615485745
43,61.0,8.812923024107548,24048.803278688523,14.114754098360656,3477.934426229508,48.46180859390567,7.855156975589161
44,25.0,5.641895835477563,22595.8,13.0,3729.0,19.86139696471544,5.028748952687798
45,65.0,9.09728368293446,24802.492307692308,15.907692307692308,3201.5538461538463,51.63963210826014,8.108614041611084
46,64.0,9.0270333367641,26885.828125,15.625,3516.03125,50.84517622967152,8.045998324300477
47,63.0,8.95623198216277,27522.650793650795,15.698412698412698,3562.3492063492063,50.05072035108291,7.982891480753057
48,69.0,9.373021315815206,23257.130434782608,16.36231884057971,3134.608695652174,54.81745562261461,8.354385210204148
49,62.0,8.884866446580956,19546.612903225807,15.903225806451612,3065.4193548387098,49.25626447249429,7.919281769978475
