label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus
1,50.128787878787875,5.924242424242424,55.77,8.426658258757147,1001.0,False,True
2,153.39156626506025,640.1325301204819,70.135,9.449796583524995,838.0,False,True
3,238.02777777777777,71.00925925925925,45.63,7.622199185685551,3945.0,False,True
4,275.51552795031057,179.91925465838509,68.02250000000001,9.306392261867519,3655.0,False,True
5,343.2158273381295,141.68345323741008,58.727500000000006,8.647206217237697,7069.0,True,True
6,343.9037037037037,156.35555555555555,57.03750000000001,8.521877758618217,10494.0,True,True
7,361.8150684931507,213.84246575342465,61.68500000000001,8.86226727857993,7550.0,True,True
8,497.11764705882354,1048.9495798319329,100.555,11.315060866864318,2456.0,False,True
9,519.3405405405406,1004.1243243243243,78.16250000000001,9.9759503765487,8898.0,True,True
10,554.734375,181.41666666666666,81.12,10.162932247580734,3100.0,False,True
11,562.4209115281501,226.8686327077748,157.59250000000003,14.165203950302875,3407.0,False,True
12,572.6878306878307,621.8888888888889,79.8525,10.0832217443615,9052.0,True,True
13,579.2162162162163,686.6108108108108,78.16250000000001,9.9759503765487,3036.0,False,True
14,626.3962264150944,1055.311320754717,89.57000000000001,10.679141633199201,9882.0,True,True
15,648.7258064516129,60.736559139784944,78.58500000000001,10.002876067562408,2107.0,False,True
16,661.0372340425532,40.47872340425532,79.43,10.056511176263564,2113.0,False,True
17,673.1047619047619,1227.4476190476191,44.362500000000004,7.51558975086544,8043.0,True,True
18,688.5280528052805,938.9570957095709,128.0175,12.767025629258121,7319.0,True,True
19,709.027027027027,956.1959459459459,62.53000000000001,8.922761272851007,4335.0,False,True
20,724.2307692307693,871.6984615384615,137.3125,13.222394071666713,7846.0,True,True
21,710.5304347826087,903.4521739130435,48.587500000000006,7.8653370162898755,2278.0,False,True
22,716.9043824701196,930.4183266932271,106.04750000000001,11.619977221161072,4498.0,False,True
23,716.0639534883721,503.3662790697674,72.67,9.619060126431496,4975.0,False,True
24,750.6576576576576,925.490990990991,93.79500000000002,10.928106107575758,3587.0,False,True
25,762.3735849056603,1018.1207547169811,111.9625,11.93964331659077,5779.0,True,True
26,761.0663265306123,970.984693877551,82.81,10.268250420569165,2903.0,False,True
27,763.0,1143.3445945945946,62.53000000000001,8.922761272851007,2310.0,False,True
28,780.3526011560693,1082.4046242774566,73.0925,9.646981985240508,6631.0,True,True
29,783.4558823529412,1239.6544117647059,57.46000000000001,8.553382035223404,2458.0,False,True
30,793.4424242424243,1181.4666666666667,69.7125,9.421290344870497,5990.0,True,True
31,800.971098265896,1052.5433526011561,73.0925,9.646981985240508,5088.0,True,True
32,811.7142857142857,1106.9450549450548,38.447500000000005,6.996633290104976,1119.0,False,True
33,854.6964980544747,1030.431906614786,108.58250000000001,11.758041200225733,2029.0,False,True
34,867.2868852459017,927.3073770491803,103.09,11.456799931339813,3450.0,False,True
35,878.03125,475.828125,27.040000000000003,5.867571668896666,2958.0,False,True
36,881.2522522522522,937.1621621621622,93.79500000000002,10.928106107575758,2791.0,False,True
37,890.1521739130435,408.25652173913045,97.17500000000001,11.123266281072276,3716.0,False,True
38,901.7553956834532,393.38129496402877,58.727500000000006,8.647206217237697,2821.0,False,True
39,919.0448717948718,475.31410256410254,65.91000000000001,9.160743331929707,1541.0,False,True
40,928.1578947368421,147.97368421052633,96.33000000000001,11.074798659313778,1969.0,False,True
41,933.438596491228,15.631578947368421,48.165000000000006,7.831065232276457,2927.0,False,True
42,937.6517857142857,185.05357142857142,47.32000000000001,7.762067717874401,1007.0,False,True
43,955.4123711340206,392.44329896907215,122.94750000000002,12.511659319463842,2952.0,False,True
44,979.0495495495495,352.1756756756757,93.79500000000002,10.928106107575758,3789.0,False,True
45,1026.2393617021276,460.15425531914894,79.43,10.056511176263564,3932.0,False,True
46,1046.4777777777779,803.9111111111112,76.05000000000001,9.840216835878625,3128.0,False,True
47,1068.4469696969697,921.560606060606,55.77,8.426658258757147,3222.0,False,True
